"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"1","John Petty","SG","Huntsville, ALJemison High School","6'5''","185","93","Alabama","john-petty","https://www.sports-reference.com/cbb/players/john-petty-1.html"
"2","Alex Reese","PF","Pelham, ALPelham High School","6'9''","220","82","Alabama","alex-reese","https://www.sports-reference.com/cbb/players/alex-reese-1.html"
"3","Garrison Brooks","C","Auburn, ALLafayette High School","6'8''","230","81","N Carolina","garrison-brooks","https://www.sports-reference.com/cbb/players/garrison-brooks-1.html"
"4","D.J. Heath","PG","Anniston, ALSacred Heart of Jesus Catholic School","6'0''","180","81","unknown","dj-heath","https://www.sports-reference.com/cbb/players/dj-heath-1.html"
"5","Herb Jones","SF","Newbern, ALHale County High School","6'5''","180","79","Alabama","herb-jones","https://www.sports-reference.com/cbb/players/herb-jones-1.html"
"6","Kevion Nolan","PG","Anniston, ALSacred Heart of Jesus Catholic School","6'1''","150","78","Samford","kevion-nolan","https://www.sports-reference.com/cbb/players/kevion-nolan-1.html"
"7","Bradley Belt","PG","Hazel Green, ALHazel Green High School","5'11''","","77","unknown","bradley-belt","https://www.sports-reference.com/cbb/players/bradley-belt-1.html"
"1","DeAndre Ayton","C","Phoenix, AZHillcrest Prep","7'0''","220","97","Arizona","deandre-ayton","https://www.sports-reference.com/cbb/players/deandre-ayton-1.html"
"2","Marvin Bagley, III","PF","Phoenix, AZSierra Canyon High School","6'11''","220","98","Duke","marvin-bagleyiii","https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html"
"3","Alex Barcello","SG","Phoenix, AZCorona Del Sol High School","6'2''","175","83","Arizona","alex-barcello","https://www.sports-reference.com/cbb/players/alex-barcello-1.html"
"4","Chris Sodom","C","Phoenix, AZTennessee Prep Academy","7'2''","225","80","Georgetown","chris-sodom","https://www.sports-reference.com/cbb/players/chris-sodom-1.html"
"5","Saban Lee","PG","Tempe, AZCorona Del Sol High School","6'2''","175","79","Vanderbilt","saban-lee","https://www.sports-reference.com/cbb/players/saban-lee-1.html"
"6","Marcus Shaver","PG","Phoenix, AZShadow Mountain High School","6'2''","170","75","unknown","marcus-shaver","https://www.sports-reference.com/cbb/players/marcus-shaver-1.html"
"7","Gabe McGlothan","PF","Gilbert, AZBasha High School","6'6''","220","67","Army","gabe-mcglothan","https://www.sports-reference.com/cbb/players/gabe-mcglothan-1.html"
"8","Caleb Simmons","SG","Phoenix, AZSaint Mary's High School","6'3''","175","65","unknown","caleb-simmons","https://www.sports-reference.com/cbb/players/caleb-simmons-1.html"
"9","Holland Woods","PG","Glendale, AZApollo High School","6'0''","170","63","Portland St","holland-woods","https://www.sports-reference.com/cbb/players/holland-woods-1.html"
"1","Dan Gafford","C","El Dorado, AREl Dorado High School","6'10''","220","88","Arkansas","dan-gafford","https://www.sports-reference.com/cbb/players/dan-gafford-1.html"
"2","Khalil Garland","SF","Little Rock, ARParkview Arts & Science Magnet High","6'6''","190","86","Arkansas","khalil-garland","https://www.sports-reference.com/cbb/players/khalil-garland-1.html"
"1","Brandon McCoy","C","San Diego, CACathedral Catholic High School","6'11''","244","93","UNLV","brandon-mccoy","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html"
"2","Billy Preston","PF","Los Angeles, CAOak Hill Academy","6'10''","230","93","Kansas","billy-preston","https://www.sports-reference.com/cbb/players/billy-preston-1.html"
"3","Jaylen Hands","PG","San Diego, CAFoothills Christian High School","6'3''","170","93","UCLA","jaylen-hands","https://www.sports-reference.com/cbb/players/jaylen-hands-1.html"
"4","Ethan Thompson","SG","Los Angeles, CABishop Montgomery High School","6'5''","180","88","Oregon St","ethan-thompson","https://www.sports-reference.com/cbb/players/ethan-thompson-1.html"
"5","Kezie Okpala","SF","Anaheim, CAEsperanza High School","6'8''","195","88","Stanford","kezie-okpala","https://www.sports-reference.com/cbb/players/kezie-okpala-1.html"
"6","Cody Riley","PF","Chatsworth, CASierra Canyon High School","6'8''","240","88","UCLA","cody-riley","https://www.sports-reference.com/cbb/players/cody-riley-1.html"
"7","Jalen Hill","C","Corona, CACentennial High School","6'8''","220","86","UCLA","jalen-hill","https://www.sports-reference.com/cbb/players/jalen-hill-1.html"
"8","Jemarl Baker","SG","Eastvale, CARoosevelt High School","6'4''","180","85","Kentucky","jemarl-baker","https://www.sports-reference.com/cbb/players/jemarl-baker-1.html"
"9","Ira Lee","PF","Los Angeles, CACrossroads School","6'8''","225","85","Arizona","ira-lee","https://www.sports-reference.com/cbb/players/ira-lee-1.html"
"10","Remy Martin","PG","Chatsworth, CASierra Canyon High School","6'0''","170","83","Arizona St","remy-martin","https://www.sports-reference.com/cbb/players/remy-martin-1.html"
"11","Evan Battey","C","Villa Park, CAVilla Park High School","6'7''","290","82","Colorado","evan-battey","https://www.sports-reference.com/cbb/players/evan-battey-1.html"
"12","Justice Sueing","SF","Santa Ana, CAMater Dei High School","6'6''","210","82","California","justice-sueing","https://www.sports-reference.com/cbb/players/justice-sueing-1.html"
"13","Alfred Hollins","SG","San Francisco, CAHillcrest Prep","6'6''","195","81","Oregon St","alfred-hollins","https://www.sports-reference.com/cbb/players/alfred-hollins-1.html"
"14","Jordan Schakel","SF","Torrance, CABishop Montgomery High School","6'5''","180","81","San Diego St","jordan-schakel","https://www.sports-reference.com/cbb/players/jordan-schakel-1.html"
"15","Juhwan Harris-Dyson","SF","Sherman Oaks, CAHeritage High School","6'5''","180","80","California","juhwan-harris-dyson","https://www.sports-reference.com/cbb/players/juhwan-harris-dyson-1.html"
"16","LiAngelo Ball","SF","Chino Hills, CAChino Hills High School","6'6''","240","79","UCLA","liangelo-ball","https://www.sports-reference.com/cbb/players/liangelo-ball-1.html"
"17","Damari Milstead","PG","Hayward, CAMoreau Catholic High School","6'2''","155","79","Grand Canyon","damari-milstead","https://www.sports-reference.com/cbb/players/damari-milstead-1.html"
"18","Sebastian Much","PF","San Juan Capistrano, CAJSerra Catholic High School","6'7''","200","78","Princeton","sebastian-much","https://www.sports-reference.com/cbb/players/sebastian-much-1.html"
"19","Richard Polanco","PF","San Diego, CAArmy & Navy Academy","6'7''","215","77","unknown","richard-polanco","https://www.sports-reference.com/cbb/players/richard-polanco-1.html"
"20","Ernie Sears","SG","Mission Hills, CABishop Alemany High School","6'3''","160","77","unknown","ernie-sears","https://www.sports-reference.com/cbb/players/ernie-sears-1.html"
"21","Tyler Bey","PF","Los Angeles, CAMiddlebrooks Academy","6'7''","205","76","Colorado","tyler-bey","https://www.sports-reference.com/cbb/players/tyler-bey-1.html"
"22","Jacob Hughes","C","Orange, CAServite High School","6'9''","215","75","unknown","jacob-hughes","https://www.sports-reference.com/cbb/players/jacob-hughes-1.html"
"23","Elizjah Scott","SF","Chino Hills, CAChino Hills High School","6'4''","190","75","Loyola Mary","elizjah-scott","https://www.sports-reference.com/cbb/players/elizjah-scott-1.html"
"24","Jade' Smith","PG","Oakland, CASt. Joseph Notre Dame High School","6'2''","162","75","Pepperdine","jade-smith","https://www.sports-reference.com/cbb/players/jade-smith-1.html"
"25","Devante Doutrive","SG","Woodland Hills, CABirmingham High School","6'5''","190","75","Utah","devante-doutrive","https://www.sports-reference.com/cbb/players/devante-doutrive-1.html"
"26","Edra Luster Jr.","C","Oakland, CASkyline High School","6'7''","","72","unknown","edra-lusterjr","https://www.sports-reference.com/cbb/players/edra-lusterjr-1.html"
"27","Zafir Williams","PF","Long Beach, CALong Beach Polytechnic High School","6'5''","175","72","Loyola Mary","zafir-williams","https://www.sports-reference.com/cbb/players/zafir-williams-1.html"
"28","Myles Johnson","C","Long Beach, CALong Beach Polytechnic High School","6'6''","210","70","Rutgers","myles-johnson","https://www.sports-reference.com/cbb/players/myles-johnson-1.html"
"29","J.J. Overton","PG","San Diego, CARancho Bernardo High School","6'1''","155","70","unknown","jj-overton","https://www.sports-reference.com/cbb/players/jj-overton-1.html"
"30","Deschon Winston","PG","Lake Balboa, CABirmingham High School","6'2''","180","70","California","deschon-winston","https://www.sports-reference.com/cbb/players/deschon-winston-1.html"
"31","Louis Bangai","C","Santa Fe Springs, CASaint Paul High School","6'10''","250","70","unknown","louis-bangai","https://www.sports-reference.com/cbb/players/louis-bangai-1.html"
"32","Felipe Haase","C","Los Angeles, CACathedral High School","6'8''","250","70","S Carolina","felipe-haase","https://www.sports-reference.com/cbb/players/felipe-haase-1.html"
"33","Deshay Gipson","SG","Palmdale, CAHighland High School","6'2''","205","69","unknown","deshay-gipson","https://www.sports-reference.com/cbb/players/deshay-gipson-1.html"
"34","Timmy Falls","SG","Dublin, CADublin High School","6'2''","170","69","Montana","timmy-falls","https://www.sports-reference.com/cbb/players/timmy-falls-1.html"
"35","Elie Ghomsi","SF","Altadena, CARenaissance Academy","6'7''","215","69","unknown","elie-ghomsi","https://www.sports-reference.com/cbb/players/elie-ghomsi-1.html"
"36","Miles Brookins","PF","Santa Ana, CAMater Dei High School","6'8''","210","69","La Salle","miles-brookins","https://www.sports-reference.com/cbb/players/miles-brookins-1.html"
"37","Tydus Verhoeven","SF","Manteca, CAManteca High School","6'7''","210","69","unknown","tydus-verhoeven","https://www.sports-reference.com/cbb/players/tydus-verhoeven-1.html"
"38","Solomon Ruddell","C","Morro Bay, CAThe Hill School","7'1''","255","69","UC Irvine","solomon-ruddell","https://www.sports-reference.com/cbb/players/solomon-ruddell-1.html"
"39","Adam Seiko","PG","Chatsworth, CASierra Canyon High School","6'2''","175","69","San Diego St","adam-seiko","https://www.sports-reference.com/cbb/players/adam-seiko-1.html"
"40","Jailen Moore","PG","Lake Elsinore, CARedondo Union High School","5'11''","155","67","unknown","jailen-moore","https://www.sports-reference.com/cbb/players/jailen-moore-1.html"
"41","Otto Taylor","PG","San Diego, CASaint Augustine High School","6'1''","155","67","unknown","otto-taylor","https://www.sports-reference.com/cbb/players/otto-taylor-1.html"
"42","Chris Williams","PG","Orange, CAOrange Lutheran High School","6'2''","170","67","unknown","chris-williams","https://www.sports-reference.com/cbb/players/chris-williams-1.html"
"43","Charles Neal Jr.","SG","Palm Desert, CARancho Mirage High School","6'3''","160","67","unknown","charles-nealjr","https://www.sports-reference.com/cbb/players/charles-nealjr-1.html"
"44","Jordan Roberts","SF","Bakersfield, CARidgeview High School","6'8''","195","66","Long Beach St","jordan-roberts","https://www.sports-reference.com/cbb/players/jordan-roberts-1.html"
"45","Myles Franklin","SG","Villa Park, CAVilla Park High School","6'3''","155","66","Northeastern","myles-franklin","https://www.sports-reference.com/cbb/players/myles-franklin-1.html"
"46","Walter Ibina","SF","Fresno, CAClovis West High School","6'4''","180","65","unknown","walter-ibina","https://www.sports-reference.com/cbb/players/walter-ibina-1.html"
"47","Marvin Bragg","SF","Cerritos, CAGahr High School","6'6''","170","65","American","marvin-bragg","https://www.sports-reference.com/cbb/players/marvin-bragg-1.html"
"1","D'Shawn Schwartz","SF","Colorado Springs, COSand Creek High School","6'7''","217","85","Colorado","dshawn-schwartz","https://www.sports-reference.com/cbb/players/dshawn-schwartz-1.html"
"2","Jaizec Lottie","PG","Aurora, COCherokee Trail High School","6'0''","155","75","unknown","jaizec-lottie","https://www.sports-reference.com/cbb/players/jaizec-lottie-1.html"
"3","Braxton Bertolette","PG","Fort Collins, COFossil Ridge High School","6'3''","180","74","unknown","braxton-bertolette","https://www.sports-reference.com/cbb/players/braxton-bertolette-1.html"
"4","Colbey Ross","PG","Aurora, COEaglecrest High School","6'0''","160","69","Pepperdine","colbey-ross","https://www.sports-reference.com/cbb/players/colbey-ross-1.html"
"5","Jackson Ehrlin","PF","Colorado Springs, CORampart High School","6'7''","205","68","unknown","jackson-ehrlin","https://www.sports-reference.com/cbb/players/jackson-ehrlin-1.html"
"6","C.J. Jennings","SG","Colorado Springs, COSierra High School","6'2''","160","65","unknown","cj-jennings","https://www.sports-reference.com/cbb/players/cj-jennings-1.html"
"7","Jalen Sanders","SF","Highlands Ranch, COValor Christian High School","6'4''","170","63","unknown","jalen-sanders","https://www.sports-reference.com/cbb/players/jalen-sanders-1.html"
"8","Asad Yousef","SG","Aurora, COOverland High School","6'0''","155","60","unknown","asad-yousef","https://www.sports-reference.com/cbb/players/asad-yousef-1.html"
"9","Hunter Maldonado","SF","Colorado Springs, COVista Ridge High School","6'5''","180","60","Wyoming","hunter-maldonado","https://www.sports-reference.com/cbb/players/hunter-maldonado-1.html"
"10","Calvin Fugett Jr.","PG","Denver, COGeorge Washington High School","5'11''","150","59","unknown","calvin-fugettjr","https://www.sports-reference.com/cbb/players/calvin-fugettjr-1.html"
"1","Tremont Waters","PG","New Haven, CTNotre Dame High School","5'11''","165","89","LSU","tremont-waters","https://www.sports-reference.com/cbb/players/tremont-waters-1.html"
"2","Walter Whyte","SF","New Haven, CTSt. Luke's School","6'5''","210","78","Boston U","walter-whyte","https://www.sports-reference.com/cbb/players/walter-whyte-1.html"
"3","Aaron Wheeler","SF","Stamford, CTBrewster Academy","6'7''","180","78","Purdue","aaron-wheeler","https://www.sports-reference.com/cbb/players/aaron-wheeler-1.html"
"4","Matt Turner","SG","Trumbull, CTBlair Academy","6'3''","170","76","Santa Clara","matt-turner","https://www.sports-reference.com/cbb/players/matt-turner-1.html"
"5","Mike McGuirl","SG","Manchester, CTEast Catholic High School","6'2''","175","69","Kansas St","mike-mcguirl","https://www.sports-reference.com/cbb/players/mike-mcguirl-1.html"
"6","Luka Vasic","PF","Avon, CTAvon Old Farms School For Boys","6'6''","","66","Hartford","luka-vasic","https://www.sports-reference.com/cbb/players/luka-vasic-1.html"
"7","C.J. Seaforth","PG","Hamden, CTHamden High School","5'11''","","60","Iona","cj-seaforth","https://www.sports-reference.com/cbb/players/cj-seaforth-1.html"
"1","Trevon Duval","PG","Wilmington, DEIMG Academy","6'3''","191","96","Duke","trevon-duval","https://www.sports-reference.com/cbb/players/trevon-duval-1.html"
"2","Myles Cale","SG","Middletown, DEAppoquinimink High School","6'4''","195","84","Seton Hall","myles-cale","https://www.sports-reference.com/cbb/players/myles-cale-1.html"
"1","Kevin Knox","SF","Tampa, FLTampa Catholic High School","6'9''","206","95","Kentucky","kevin-knox","https://www.sports-reference.com/cbb/players/kevin-knox-1.html"
"2","Chaundee Brown","SG","Orlando, FLFirst Academy","6'5''","208","89","Wake Forest","chaundee-brown","https://www.sports-reference.com/cbb/players/chaundee-brown-1.html"
"3","Zack Dawson","PG","Miami, FLSouth Miami High School","6'3''","180","84","Oklahoma St","zack-dawson","https://www.sports-reference.com/cbb/players/zack-dawson-1.html"
"4","Mayan Kiir","PF","Bradenton, FLVictory Rock Prep","6'9''","215","83","LSU","mayan-kiir","https://www.sports-reference.com/cbb/players/mayan-kiir-1.html"
"5","Raiquan Gray","PF","Fort Lauderdale, FLDillard High School","6'8''","259","82","Florida St","raiquan-gray","https://www.sports-reference.com/cbb/players/raiquan-gray-1.html"
"6","Trent Frazier","PG","Wellington, FLWellington Community High School","6'2''","170","82","Illinois","trent-frazier","https://www.sports-reference.com/cbb/players/trent-frazier-1.html"
"7","Victor Uyaelunmo","C","Miami, FLCalvary Christian Academy","6'11''","210","82","USC","victor-uyaelunmo","https://www.sports-reference.com/cbb/players/victor-uyaelunmo-1.html"
"8","Malik William","PF","Orlando, FLThe First Academy","6'7''","200","82","Clemson","malik-william","https://www.sports-reference.com/cbb/players/malik-william-1.html"
"9","Zach Brown","C","Miami, FLCalusa Prep","7'0''","260","82","St. John's","zach-brown","https://www.sports-reference.com/cbb/players/zach-brown-1.html"
"10","L.J. Figueroa","SF","Tampa, FLWest Oaks Academy","6'5''","195","81","New Mexico St","lj-figueroa","https://www.sports-reference.com/cbb/players/lj-figueroa-1.html"
"11","Tyler Polley","SF","Weston, FLThe Sagemont School","6'8''","185","81","UConn","tyler-polley","https://www.sports-reference.com/cbb/players/tyler-polley-1.html"
