"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"11","Eric Hester","PG","Oldsmar, FLOldsmar Christian High School","6'3''","175","79","Florida","eric-hester","https://www.sports-reference.com/cbb/players/eric-hester-1.html"
"12","John Mooney","PF","Altamonte Springs, FLLake Brantley High School","6'9''","240","79","Notre Dame","john-mooney","https://www.sports-reference.com/cbb/players/john-mooney-1.html"
"13","Issa Thiam","SF","Jacksonville, FLArlington Country Day School","6'8''","180","78","Rutgers","issa-thiam","https://www.sports-reference.com/cbb/players/issa-thiam-1.html"
"14","Khadim Gueye","C","Bradenton, FLVictory Rock Prep","7'1''","220","77","unknown","khadim-gueye","https://www.sports-reference.com/cbb/players/khadim-gueye-1.html"
"15","Koch Bar","C","Jacksonville, FLArlington Country Day School","6'9''","220","76","Bradley","koch-bar","https://www.sports-reference.com/cbb/players/koch-bar-1.html"
"16","Jean-Michael Tine","PF","Orlando, FLOrlando Christian Prep","6'7''","217","75","unknown","jean-michael-tine","https://www.sports-reference.com/cbb/players/jean-michael-tine-1.html"
"17","Tre Clark","SG","Palmetto, FLPalmetto Ridge High School","6'5''","185","74","Furman","tre-clark","https://www.sports-reference.com/cbb/players/tre-clark-1.html"
"18","Dontay Bassett","PF","Oldsmar, FLOldsmar Christian High School","6'8''","205","72","Florida","dontay-bassett","https://www.sports-reference.com/cbb/players/dontay-bassett-1.html"
"19","Ronald Taylor","PG","Bradenton, FLSoutheast High School","6'2''","160","70","unknown","ronald-taylor","https://www.sports-reference.com/cbb/players/ronald-taylor-1.html"
"20","Ray Robinson","C","Coconut Creek, FLDeerfield Beach High School","6'8''","185","70","N Arizona","ray-robinson","https://www.sports-reference.com/cbb/players/ray-robinson-1.html"
"1","Kobi Simmons","PG","Alpharetta, GASt. Francis High School","6'6''","185","92","Arizona","kobi-simmons","https://www.sports-reference.com/cbb/players/kobi-simmons-1.html"
"2","Alterique Gilbert","PG","Lithonia, GAMiller Grove High School","6'0''","170","89","UConn","alterique-gilbert","https://www.sports-reference.com/cbb/players/alterique-gilbert-1.html"
"3","Brandon Robinson","SG","Douglasville, GADouglas County High School","6'5''","170","85","N Carolina","brandon-robinson","https://www.sports-reference.com/cbb/players/brandon-robinson-1.html"
"4","James Banks","C","Atlanta, GALa Lumiere School","6'11''","230","84","Texas","james-banks","https://www.sports-reference.com/cbb/players/james-banks-1.html"
"5","Chris Lewis","PF","Alpharetta, GAMilton High School","6'8''","235","83","Harvard","chris-lewis","https://www.sports-reference.com/cbb/players/chris-lewis-1.html"
"6","Romello White","PF","Marietta, GAWheeler High School","6'9''","220","82","Arizona St","romello-white","https://www.sports-reference.com/cbb/players/romello-white-1.html"
"7","Tyree Crump","SG","Bainbridge, GABainbridge High School","6'2''","170","82","Georgia","tyree-crump","https://www.sports-reference.com/cbb/players/tyree-crump-1.html"
"8","Jared Harper","PG","Atlanta, GAPebblebrook High School","5'10''","160","82","Auburn","jared-harper","https://www.sports-reference.com/cbb/players/jared-harper-1.html"
"9","Robert Baker Jr.","PF","Woodstock, GAThe Walker School","6'9''","190","82","Harvard","robert-bakerjr","https://www.sports-reference.com/cbb/players/robert-bakerjr-1.html"
