"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height","Weight","Rating.espn","School","player.id","bball.ref.link.espn","Previous.National.Ranking","Name.247","Hometown","Position.247","Height.Weight","Rating.247","All Ratings","National.Ranking.247","Position.Ranking","State.Ranking","bball.ref.link.247","Name","Position","Height.Weight","Hometown","High.School","College"
67,"Jericho Sims","C","Minneapolis, MNCristo Rey Jesuit High School","6'8''",190,85,"Texas","jericho-sims","https://www.sports-reference.com/cbb/players/jericho-sims-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jericho Sims","        Forward  ","6-9, 240lb (206cm, 108kg) ","   Minneapolis, MN","   Cristo Rey Jesuit High School","Texas"
69,"Ira Lee","PF","Los Angeles, CACrossroads School","6'8''",225,85,"Arizona","ira-lee","https://www.sports-reference.com/cbb/players/ira-lee-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ira Lee","        Forward  ","6-7, 235lb (201cm, 106kg) ","   Los Angeles, CA","   Crossroads School","Arizona"
70,"Naji Marshall","SF","Greenbelt, MDHargrave Military Academy","6'6''",185,85,"Xavier","naji-marshall","https://www.sports-reference.com/cbb/players/naji-marshall-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Naji Marshall","        Forward  ","6-7, 218lb (201cm, 98kg) ","   Atlantic City, NJ","   Hargrave Military Academy","Xavier"
71,"D'Shawn Schwartz","SF","Colorado Springs, COSand Creek High School","6'7''",217,85,"Colorado","dshawn-schwartz","https://www.sports-reference.com/cbb/players/dshawn-schwartz-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D'Shawn Schwartz","        Guard  ","6-7, 223lb (201cm, 101kg) ","   Colorado Springs, CO","   Sand Creek High School","Colorado"
72,"Kaleb Wesson","C","Westerville, OHWesterville South High School","6'9''",316,85,"Ohio State","kaleb-wesson","https://www.sports-reference.com/cbb/players/kaleb-wesson-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kaleb Wesson","        Forward  ","6-9, 270lb (206cm, 122kg) ","   Westerville, OH","   Westerville South High School","Ohio State"
73,"Wabissa Bede","PG","North Andover, MACushing Academy","6'1''",180,84,"Virginia Tech","wabissa-bede","https://www.sports-reference.com/cbb/players/wabissa-bede-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wabissa Bede","        Guard  ","6-1, 195lb (185cm, 88kg) ","   North Andover, MA","   Cushing Academy","Virginia Tech"
75,"Isaiah Livers","PF","Kalamazoo, MIKalamazoo Central High School","6'7''",185,84,"Michigan","isaiah-livers","https://www.sports-reference.com/cbb/players/isaiah-livers-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isaiah Livers","        Forward  ","6-7, 230lb (201cm, 104kg) ","   Kalamazoo, MI","   Kalamazoo Central High School","Michigan"
77,"Myles Cale","SG","Middletown, DEAppoquinimink High School","6'4''",195,84,"Seton Hall","myles-cale","https://www.sports-reference.com/cbb/players/myles-cale-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myles Cale","        Guard  ","6-5, 200lb (196cm, 90kg) ","   Middletown, DE","   Appoquinimink High School","Seton Hall"
78,"Ty-Shon Alexander","SG","Charlotte, NCOak Hill Academy","6'4''",190,84,"Creighton","ty-shon-alexander","https://www.sports-reference.com/cbb/players/ty-shon-alexander-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ty-Shon Alexander","        Guard  ","6-4, 195lb (193cm, 88kg) ","   Charlotte, NC","   Oak Hill Academy","Creighton"
79,"Galen Alexander","SF","Lafayette, LALafayette Christian Academy","6'7''",220,84,"LSU","galen-alexander","https://www.sports-reference.com/cbb/players/galen-alexander-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galen Alexander","        Forward  ","6-6, 210lb (198cm, 95kg) ","   Breaux Bridge, LA","   Lafayette Christian Academy","LSU"
80,"Josh Anderson","SF","Baton Rouge, LAMadison Prep Academy","6'5''",180,84,"Western Kentucky","josh-anderson","https://www.sports-reference.com/cbb/players/josh-anderson-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Josh Anderson","        Guard  ","6-6, 180lb (198cm, 81kg) ","   Baton Rouge, LA","   Madison Prep Academy","Western Kentucky"
81,"Savion Flagg","SF","Alvin, TXAlvin High School","6'7''",200,84,"Texas A&M","savion-flagg","https://www.sports-reference.com/cbb/players/savion-flagg-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Savion Flagg","        Guard  ","6-7, 217lb (201cm, 98kg) ","   Alvin, TX","   Alvin High School","Texas A&M"
82,"Royce Hamm","PF","Houston, TXAldine High School","6'8''",210,84,"Texas","royce-hamm","https://www.sports-reference.com/cbb/players/royce-hamm-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Royce Hamm Jr.","        Forward  ","6-8, 230lb (203cm, 104kg) ","   Houston, TX","   Aldine Nimitz High School","Texas"
84,"Nojel Eastern","SG","Evanston, ILEvanston Township High School","6'6''",207,83,"Purdue","nojel-eastern","https://www.sports-reference.com/cbb/players/nojel-eastern-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nojel Eastern","        Guard  ","6-6, 220lb (198cm, 99kg) ","   Evanston, IL","   Evanston Township High School","Purdue"
86,"Nate Reuvers","PF","Lakeville, MNLakeville High School","6'10''",220,83,"Wisconsin","nate-reuvers","https://www.sports-reference.com/cbb/players/nate-reuvers-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate Reuvers","        Forward  ","6-10, 215lb (208cm, 97kg) ","   Lakeville, MN","   Lakeville North High School","Wisconsin"
87,"Alex O'Connell","SG","Milton, GAMilton High School","6'6''",175,83,"Duke","alex-oconnell","https://www.sports-reference.com/cbb/players/alex-oconnell-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex O'Connell","        Guard  ","6-6, 171lb (198cm, 77kg) ","   Roswell, GA","   Milton High School","Duke"
88,"Kyle Young","SF","Massillon, OHJackson High School","6'7''",210,83,"Ohio State","kyle-young","https://www.sports-reference.com/cbb/players/kyle-young-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyle Young","        Forward  ","6-8, 205lb (203cm, 92kg) ","   Canton, OH","   Jackson High School","Ohio State"
89,"Victor Bailey Jr.","SG","Austin, TXMcNeil High School","6'3''",175,83,"Oregon","victor-baileyjr","https://www.sports-reference.com/cbb/players/victor-baileyjr-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victor Bailey Jr.","        Guard  ","6-4, 185lb (193cm, 83kg) ","   Austin, TX","   McNeil High School","Oregon"
90,"Hasahn French","PF","Springfield, MACommonwealth Academy","6'7''",230,83,"Saint Louis","hasahn-french","https://www.sports-reference.com/cbb/players/hasahn-french-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hasahn French","        Forward  ","6-7, 235lb (201cm, 106kg) ","   Middletown, NY","   Commonwealth School","Saint Louis"
91,"Justin Smith","SF","Buffalo Grove, ILAdlai E. Stevenson High School","6'7''",215,83,"Indiana","justin-smith","https://www.sports-reference.com/cbb/players/justin-smith-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Justin Smith","        Forward  ","6-7, 220lb (201cm, 99kg) ","   Buffalo Grove, IL","   Adlai E. Stevenson High School","Indiana"
92,"Connor McCaffery","SG","Iowa City, IAWest High School","6'6''",195,83,"Iowa","connor-mccaffery","https://www.sports-reference.com/cbb/players/connor-mccaffery-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connor McCaffery","        Guard  ","6-5, 200lb (196cm, 90kg) ","   Iowa City, IA","   West High School","Iowa"
93,"Da'Monte Williams","SG","Peoria, ILManual High School","6'3''",180,83,"Illinois","damonte-williams","https://www.sports-reference.com/cbb/players/damonte-williams-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Da'Monte Williams","        Guard  ","6-3, 190lb (190cm, 86kg) ","  High School: Manual High School","  School: Illinois","Illinois"
96,"Alex Barcello","SG","Phoenix, AZCorona Del Sol High School","6'2''",175,83,"Arizona","alex-barcello","https://www.sports-reference.com/cbb/players/alex-barcello-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alex Barcello","        Guard  ","6-2, 180lb (188cm, 81kg) ","   Chandler, AZ","   Corona del Sol High School","Arizona"
98,"Chase Johnson","PF","Ripley, WVHuntington Prep","6'8''",210,83,"Florida","chase-johnson","https://www.sports-reference.com/cbb/players/chase-johnson-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chase Johnson","        Forward  ","6-9, 205lb (206cm, 92kg) ","   Ripley, WV","   Huntington Prep","Florida"
