"Previous.National.Ranking","Name","Hometown","Position","Height.Weight","Rating","All Ratings","National.Ranking","Position.Ranking","State.Ranking","player.id","Season"
"82","Sean Lonergan"," Fishers (Fishers, IN)  "," SF "," 6-5 / 210 ","70"," 457 82 19 ","457","82","19","sean-lonergan",2016
"1","Harry Giles"," Oak Hill Academy (Winston Salem, NC)  "," PF "," 6-11 / 222 ","100"," 2 1 1 ","2","1","1","harry-giles",2016
"2","Bam Adebayo"," High Point Christian Academy (Pinetown, NC)  "," PF "," 6-9 / 232 ","99"," 9 2 2 ","9","2","2","bam-adebayo",2016
"3","Thon Maker"," Athlete Institute Basketball Academy ()  "," PF "," 7-0 / 205 ","99"," 10 3 1 ","10","3","1","thon-maker",2016
"4","Wenyen Gabriel"," Wilbraham & Monson Academy (Wilbraham, MA)  "," PF "," 6-9 / 197 ","99"," 15 4 1 ","15","4","1","wenyen-gabriel",2016
"10","Lauri Markkanen"," International (Paterson, NJ)  "," PF "," 6-11 / 225 ","98"," 36 10 2 ","36","10","2","lauri-markkanen",2016
"5","Jarrett Allen"," St. Stephen's Episcopal (Austin, TX)  "," PF "," 6-11 / 224 ","98"," 17 5 4 ","17","5","4","jarrett-allen",2016
"6","TJ Leaf"," Foothills Christian (El Cajon, CA)  "," PF "," 6-9 / 215 ","98"," 18 6 2 ","18","6","2","tj-leaf",2016
"8","Dewan Hernandez"," Norland (Miami, FL)  "," PF "," 6-10 / 206 ","98"," 27 8 3 ","27","8","3","dewan-hernandez",2016
"9","Austin Wiley"," Spain Park (Birmingham, AL)  "," PF "," 6-10.5 / 250 ","98"," 35 9 2 ","35","9","2","austin-wiley",2016
"7","Sacha Killeya-Jones"," Virginia Episcopal School (Chapel Hill, NC)  "," PF "," 6-10 / 207 ","98"," 23 7 2 ","23","7","2","sacha-killeya-jones",2016
"15","Jay Huff"," Voyager Academy (Durham, NC)  "," PF "," 6-11 / 190 ","97"," 57 15 3 ","57","15","3","jay-huff",2016
"14","Juwan Durham"," Tampa Preparatory School (Tampa, FL)  "," PF "," 6-11 / 200 ","96"," 50 14 5 ","50","14","5","juwan-durham",2016
"12","De'Ron Davis"," Overland (Aurora, CO)  "," PF "," 6-10 / 240 ","96"," 40 12 1 ","40","12","1","de'ron-davis",2016
"13","Nick Ward"," Gahanna Lincoln (Columbus, OH)  "," PF "," 6-8 / 241 ","95"," 42 13 3 ","42","13","3","nick-ward",2016
