"Previous.National.Ranking","Name","Hometown","Position","Height.Weight","Rating","All Ratings","National.Ranking","Position.Ranking","State.Ranking","player.id","Season"
"3","Jaylen Hands"," Mater Dei Catholic (Chula Vista, CA)  "," PG "," 6-2 / 170 ","98"," 22 3 5 ","22","3","5","jaylen-hands",2017
"6","Nick Weatherspoon"," Velma Jackson (Camden, MS)  "," PG "," 6-2 / 173 ","98"," 29 6 1 ","29","6","1","nick-weatherspoon",2017
"4","Trae Young"," Norman North (Norman, OK)  "," PG "," 6-2 / 176 ","98"," 23 4 1 ","23","4","1","trae-young",2017
"7","Paul Scruggs"," Southport (Indianapolis, IN)  "," PG "," 6-4 / 200 ","98"," 34 7 5 ","34","7","5","paul-scruggs",2017
"5","Quade Green"," Neumann Goretti (Philadelphia, PA)  "," PG "," 6-1 / 177 ","97"," 26 5 3 ","26","5","3","quade-green",2017
"9","Makai Ashton-Langford"," Brewster Academy (Worcester, MA)  "," PG "," 6-1 / 180 ","96"," 41 9 1 ","41","9","1","makai-ashton-langford",2017
"8","Lindell Wigginton"," Oak Hill Academy (Mouth Of Wilson, VA)  "," PG "," 6-1 / 175 ","96"," 35 8 2 ","35","8","2","lindell-wigginton",2017
"10","Tremont Waters"," Notre Dame (New Haven, CT)  "," PG "," 5-11 / 160 ","95"," 44 10 2 ","44","10","2","tremont-waters",2017
"13","Isaiah Washington"," St. Raymond For Boys (Bronx, NY)  "," PG "," 6-0 / 162 ","94"," 62 13 2 ","62","13","2","isaiah-washington",2017
"14","Chris Lykes"," Gonzaga  (Washington, DC)  "," PG "," 5-7 / 150 ","94"," 64 14 1 ","64","14","1","chris-lykes",2017
"11","Matt Coleman"," Oak Hill Academy (Norfolk, VA)  "," PG "," 6-1 / 174 ","94"," 52 11 3 ","52","11","3","matt-coleman",2017
"20","Kellan Grady"," Northfield Mount Hermon (West Roxbury, MA)  "," PG "," 6-4 / 178 ","94"," 95 20 3 ","95","20","3","kellan-grady",2017
"12","Davion Mitchell"," Liberty County (Hinesville, GA)  "," PG "," 6-1 / 185 ","94"," 59 12 6 ","59","12","6","davion-mitchell",2017
"16","Darius Perry"," Wheeler (Marietta, GA)  "," PG "," 6-2 / 170 ","93"," 72 16 9 ","72","16","9","darius-perry",2017
"15","Wabissa Bede"," Cushing Academy (Lowell, MA)  "," PG "," 6-1 / 180 ","92"," 70 15 2 ","70","15","2","wabissa-bede",2017
"25","Blake Harris"," Word Of God Christian Academy (Chapel Hill, NC)  "," PG "," 6-3 / 185 ","92"," 121 25 8 ","121","25","8","blake-harris",2017
"21","Lavar Batts"," Jay M Robinson (Concord, NC)  "," PG "," 6-2 / 160 ","91"," 99 21 1 ","99","21","1","lavar-batts",2017
"22","Saben Lee"," Corona Del Sol (Tempe, AZ)  "," PG "," 6-1 / 175 ","91"," 105 22 2 ","105","22","2","saben-lee",2017
"17","Alex Barcello"," Corona Del Sol (Tempe, AZ)  "," PG "," 6-2 / 165 ","90"," 83 17 1 ","83","17","1","alex-barcello",2017
"23","Brad Davison"," Maple Grove (Osseo, MN)  "," PG "," 6-3 / 190 ","90"," 108 23 3 ","108","23","3","brad-davison",2017
"40","Brandon Knapper"," Hargrave Military Academy (HS) (Chatham, VA)  "," PG "," 6-0 / 160 ","89"," 211 40 12 ","211","40","12","brandon-knapper",2017
"30","William Douglas"," Christian Brothers (Memphis, TN)  "," PG "," 6-5 / 175 ","89"," 167 30 2 ","167","30","2","william-douglas",2017
"18","Remy Martin"," Sierra Canyon (Chatsworth, CA)  "," PG "," 5-11 / 170 ","89"," 84 18 12 ","84","18","12","remy-martin",2017
"24","Trent Frazier"," Wellington (West Palm Beach, FL)  "," PG "," 6-2 / 170 ","89"," 109 24 7 ","109","24","7","trent-frazier",2017
"19","Victor Bailey"," McNeil (Austin, TX)  "," PG "," 6-3 / 165 ","89"," 86 19 5 ","86","19","5","victor-bailey",2017
"26","Zack Dawson"," South Miami Senior (Miami, FL)  "," PG "," 6-4 / 180 ","89"," 125 26 11 ","125","26","11","zack-dawson",2017
"27","Marcus Carr"," Montverde Academy (Montverde, FL)  "," PG "," 6-2 / 170 ","89"," 146 27 12 ","146","27","12","marcus-carr",2017
"44","McKinley Wright"," Champlin Park Senior (Champlin, MN)  "," PG "," 6-0 / 180 ","89"," 229 44 7 ","229","44","7","mckinley-wright",2017
"45","Aljami Durham"," Berkmar (Lilburn, GA)  "," PG "," 6-4 / 175 ","89"," 230 45 16 ","230","45","16","aljami-durham",2017
"31","Jose Alvarado"," Christ The King Regional (Middle Village, NY)  "," PG "," 6-0 / 160 ","89"," 170 31 7 ","170","31","7","jose-alvarado",2017
"35","Jordan Walker"," St. Patrick (New York, NY)  "," PG "," 5-10 / 160 ","89"," 181 35 3 ","181","35","3","jordan-walker",2017
"42","Nate Pierre-Louis"," Roselle Catholic (Jersey City, NJ)  "," PG "," 6-3 / 175 ","89"," 225 42 7 ","225","42","7","nate-pierre-louis",2017
"39","Eli Brooks"," Spring Grove Area (Spring Grove, PA)  "," PG "," 6-1 / 170 ","89"," 201 39 10 ","201","39","10","eli-brooks",2017
"37","Daron Russell"," Imhotep Institute (Philadelphia, PA)  "," PG "," 5-10 / 150 ","88"," 198 37 8 ","198","37","8","daron-russell",2017
"33","Aaron Thompson"," Paul VI Catholic (Fairfax, VA)  "," PG "," 6-1 / 160 ","88"," 175 33 11 ","175","33","11","aaron-thompson",2017
"51","Jerald Butler"," Calvary Christian Academy (Fort Lauderdale, FL)  "," PG "," 6-4 / 210 ","88"," 245 51 25 ","245","51","25","jerald-butler",2017
"32","C.J. Roberts"," Richland (North Richland Hills, TX)  "," PG "," 6-2 / 178 ","88"," 172 32 14 ","172","32","14","cj-roberts",2017
"47","Cooper Neese"," Cloverdale (Cloverdale, IN)  "," PG "," 6-3 / 170 ","88"," 235 47 10 ","235","47","10","cooper-neese",2017
"54","Mike Okauru"," Brewster Academy (Raleigh, NC)  "," PG "," 6-3 / 180 ","88"," 260 54 8 ","260","54","8","mike-okauru",2017
"41","Alonzo Verge Jr."," Proviso West (Villa Park, IL)  "," PG "," 6-3 / 160 ","87"," 218 41 8 ","218","41","8","alonzo-vergejr",2017
"34","Da'Monte Williams"," Manual (Peoria, IL)  "," PG "," 6-2 / 180 ","87"," 177 34 6 ","177","34","6","da'monte-williams",2017
"46","Elijah Landrum"," Central (Tulsa, OK)  "," PG "," 6-0 / 170 ","87"," 232 46 5 ","232","46","5","elijah-landrum",2017
"43","Amauri Hardy"," North Farmington (Farmington, MI)  "," PG "," 6-1 / 175 ","87"," 228 43 5 ","228","43","5","amauri-hardy",2017
"50","Jamir Moultrie"," Bishop McNamara (District Heights, MD)  "," PG "," 6-1 / 165 ","87"," 243 50 6 ","243","50","6","jamir-moultrie",2017
"68","Damari Milstead"," Moreau Catholic (Hayward, CA)  "," PG "," 6-1 / 160 ","87"," 344 68 25 ","344","68","25","damari-milstead",2017
"28","Jhivvan Jackson"," Trinity (Euless, TX)  "," PG "," 5-10 / 160 ","87"," 160 28 12 ","160","28","12","jhivvan-jackson",2017
"48","Cameron Mack"," Aggieland Homeschool (College Station, TX)  "," PG "," 6-3 / 165 ","87"," 236 48 18 ","236","48","18","cameron-mack",2017
"29","TJ Starks"," Lancaster (Lancaster, TX)  "," PG "," 6-2 / 185 ","87"," 163 29 13 ","163","29","13","tj-starks",2017
"58","Justin Roberts"," Findlay Prep (Indianapolis, IN)  "," PG "," 5-11 / 155 ","87"," 288 58 8 ","288","58","8","justin-roberts",2017
"55","Isaac White"," Australia (Australia, AUST)  "," PG "," 6-1 / 185 ","87"," 282 55 1 ","282","55","1","isaac-white",2017
"38","Collin Gillespie"," Archbishop Wood (Warminster, PA)  "," PG "," 6-2 / 180 ","87"," 200 38 9 ","200","38","9","collin-gillespie",2017
"56","Tyler Maye"," Farmville Central (Farmville, NC)  "," PG "," 6-1 / 170 ","87"," 284 56 7 ","284","56","7","tyler-maye",2017
"57","Darien Jackson"," Blue Valley Northwest (Overland Park, KS)  "," PG "," 6-2 / 175 ","87"," 286 57 4 ","286","57","4","darien-jackson",2017
"67","Isaiah Coleman-Lands"," La Lumiere School (La Porte, IN)  "," PG "," 6-0 / 160 ","87"," 342 67 13 ","342","67","13","isaiah-coleman-lands",2017
"59","Ishmael El-Amin"," Hopkins  (Minnetonka, MN)  "," PG "," 6-1 / 165 ","87"," 297 59 8 ","297","59","8","ishmael-el-amin",2017
"60","David Sloan"," Taylor County (Campbellsville, KY)  "," PG "," 6-1 / 165 ","87"," 298 60 2 ","298","60","2","david-sloan",2017
"71","Taveion Hollingsworth"," Paul Laurence Dunbar (Lexington, KY)  "," PG "," 6-2 / 165 ","87"," 358 71 5 ","358","71","5","taveion-hollingsworth",2017
"52","Kristers Zoriks"," New Hampton School (New Hampton, NH)  "," PG "," 6-3 / 180 ","87"," 255 52 7 ","255","52","7","kristers-zoriks",2017
"75","Deschon Winston"," Birmingham (Van Nuys, CA)  "," PG "," 6-2 / 180 ","87"," 382 75 30 ","382","75","30","deschon-winston",2017
"53","Avery Wilson"," Forest Park (Forest Park, GA)  "," PG "," 6-3 / 215 ","87"," 256 53 19 ","256","53","19","avery-wilson",2017
"63","Doc Nelson"," Episcopal (Houston, TX)  "," PG "," 6-1 / 160 ","86"," 314 63 25 ","314","63","25","doc-nelson",2017
"73","Jade Smith"," St Joseph Notre Dame (Alameda, CA)  "," PG "," 6-2 / 170 ","86"," 377 73 28 ","377","73","28","jade-smith",2017
"78","Luis Hurtado"," The Sagemont School (Decatur, GA)  "," PG "," 6-5 / 175 ","86"," 393 78 38 ","393","78","38","luis-hurtado",2017
"79","Grayson Murphy"," Independence (Thompson's Station, TN)  "," PG "," 6-1 / 160 ","86"," 400 79 8 ","400","79","8","grayson-murphy",2017
"65","Jalen Crutcher"," Ridgeway (Memphis, TN)  "," PG "," 6-3 / 170 ","86"," 328 65 5 ","328","65","5","jalen-crutcher",2017
"64","Braxton Beverly"," Hargrave Military Academy (HS) (Hazard, KY)  "," PG "," 5-11 / 170 ","86"," 321 64 16 ","321","64","16","braxton-beverly",2017
"76","Milton Wordlow"," Aspire Basketball Academy (Scottsdale, AZ)  "," PG "," 5-10 / 160 ","85"," 388 76 8 ","388","76","8","milton-wordlow",2017
"72","Jacob Gilyard"," The Barstow School (Kansas City, MO)  "," PG "," 5-10 / 160 ","85"," 367 72 3 ","367","72","3","jacob-gilyard",2017
"77","Jamari Wheeler"," Suwannee (Live Oak, FL)  "," PG "," 6-0 / 150 ","85"," 391 77 37 ","391","77","37","jamari-wheeler",2017
"98","Taylor Cox"," Durant (Durant, OK)  "," PG "," 6-1 / 170 ","83"," 494 98 8 ","494","98","8","taylor-cox",2017
"99","Trey Brown"," Shawnee Heights (Topeka, KS)  "," PG "," 5-10 / 165 ","83"," 495 99 9 ","495","99","9","trey-brown",2017
"100","Romeo Crouch"," Titusville (Titusville, FL)  "," PG "," 6-3 / 170 ","83"," 497 100 46 ","497","100","46","romeo-crouch",2017
"1","Hamidou Diallo"," Putnam Science Academy (Queens Village, NY)  "," SG "," 6-5 / 195 ","99"," 10 1 1 ","10","1","1","hamidou-diallo",2017
"2","Lonnie Walker"," Reading (Reading, PA)  "," SG "," 6-5 / 206 ","99"," 16 2 2 ","16","2","2","lonnie-walker",2017
"3","Gary Trent Jr."," Prolific Prep (Napa, CA)  "," SG "," 6-5 / 213 ","98"," 17 3 4 ","17","3","4","gary-trentjr",2017
"7","Ethan Thompson"," Bishop Montgomery (Torrance, CA)  "," SG "," 6-4 / 170 ","98"," 37 7 6 ","37","7","6","ethan-thompson",2017
"8","Brandon Randolph"," Westtown School (Yonkers, NY)  "," SG "," 6-6 / 183 ","98"," 38 8 4 ","38","8","4","brandon-randolph",2017
"10","Charles O'Bannon Jr."," Bishop Gorman (Las Vegas, NV)  "," SG "," 6-5 / 190 ","98"," 45 10 2 ","45","10","2","charles-o'bannonjr",2017
"5","John Petty"," Jemison (Huntsville, AL)  "," SG "," 6-5 / 180 ","97"," 33 5 1 ","33","5","1","john-petty",2017
"4","M.J. Walker"," Jonesboro (Lithia Springs, GA)  "," SG "," 6-5 / 205 ","97"," 28 4 3 ","28","4","3","mj-walker",2017
"9","Nickeil Alexander-Walker"," Hamilton Heights Christian Academy (Toronto, ON)  "," SG "," 6-5 / 175 ","97"," 40 9 1 ","40","9","1","nickeil-alexander-walker",2017
"6","Chaundee Brown"," The First Academy (Orlando, FL)  "," SG "," 6-5 / 195 ","97"," 36 6 5 ","36","6","5","chaundee-brown",2017
"11","Jordan Goodwin"," Althoff Catholic (Belleville, IL)  "," SG "," 6-3 / 200 ","96"," 54 11 2 ","54","11","2","jordan-goodwin",2017
"12","Josh Anderson"," Madison Prep Academy (Baton Rouge, LA)  "," SG "," 6-4 / 174 ","94"," 61 12 1 ","61","12","1","josh-anderson",2017
"13","Jaylen Nowell"," Garfield (Seattle, WA)  "," SG "," 6-4 / 175 ","94"," 67 13 4 ","67","13","4","jaylen-nowell",2017
"25","L.J. Figueroa"," West Oaks Academy (Orlando, FL)  "," SG "," 6-5 / 180 ","93"," 116 25 9 ","116","25","9","lj-figueroa",2017
"15","Jemarl Baker"," Eleanor Roosevelt (Los Angeles, CA)  "," SG "," 6-4 / 185 ","93"," 73 15 11 ","73","15","11","jemarl-baker",2017
"24","Tyshon Alexander"," Concord (Concord, NC)  "," SG "," 6-4 / 190 ","92"," 113 24 2 ","113","24","2","tyshon-alexander",2017
"31","Jay Jay Chandler"," Cinco Ranch (Katy, TX)  "," SG "," 6-4 / 171 ","92"," 154 31 11 ","154","31","11","jay-jay-chandler",2017
"14","Alex O'Connell"," Milton (Alpharetta, GA)  "," SG "," 6-5 / 170 ","92"," 68 14 8 ","68","14","8","alex-o'connell",2017
"19","Jordan Poole"," La Lumiere School (Milwaukee, WI)  "," SG "," 6-4 / 180 ","92"," 93 19 7 ","93","19","7","jordan-poole",2017
"18","Myles Cale"," St. Patrick (Middletown, DE)  "," SG "," 6-4 / 185 ","91"," 92 18 1 ","92","18","1","myles-cale",2017
"26","Keith Williams"," Bishop Loughlin Memorial (Brooklyn, NY)  "," SG "," 6-5 / 190 ","91"," 128 26 4 ","128","26","4","keith-williams",2017
"30","Herbert Jones"," Hale County (Moundville, AL)  "," SG "," 6-7 / 183 ","91"," 148 30 4 ","148","30","4","herbert-jones",2017
"42","Kobe King"," Central (La Crosse, WI)  "," SG "," 6-3 / 175 ","90"," 197 42 2 ","197","42","2","kobe-king",2017
"17","Jase Febres"," Westfield (Houston, TX)  "," SG "," 6-5 / 180 ","90"," 91 17 7 ","91","17","7","jase-febres",2017
"20","Mitchell Ballock"," Eudora  School (Eudora, KS)  "," SG "," 6-5 / 185 ","90"," 94 20 1 ","94","20","1","mitchell-ballock",2017
"23","Devontae Shuler"," Oak Hill Academy (Columbia, SC)  "," SG "," 6-3 / 180 ","90"," 110 23 6 ","110","23","6","devontae-shuler",2017
"22","Jordan Usher"," Wheeler (Canton, GA)  "," SG "," 6-5 / 180 ","89"," 104 22 12 ","104","22","12","jordan-usher",2017
"21","Thomas Allen"," Brewster Academy (Garner, NC)  "," SG "," 6-2 / 180 ","89"," 103 21 4 ","103","21","4","thomas-allen",2017
"16","Mark Smith"," Edwardsville (Edwardsville, IL)  "," SG "," 6-5 / 225 ","89"," 79 16 5 ","79","16","5","mark-smith",2017
"28","Elias Harden"," Sandy Creek (Atlanta, GA)  "," SG "," 6-6 / 175 ","89"," 136 28 14 ","136","28","14","elias-harden",2017
"44","Darius McNeill"," Westfield (Houston, TX)  "," SG "," 6-2 / 165 ","89"," 206 44 16 ","206","44","16","darius-mcneill",2017
"49","Greg Elliott"," East Detroit (Eastpointe, MI)  "," SG "," 6-3 / 165 ","89"," 224 49 4 ","224","49","4","greg-elliott",2017
"32","A.J. Oliver"," D W Daniel (Central, SC)  "," SG "," 6-4 / 175 ","89"," 156 32 2 ","156","32","2","aj-oliver",2017
"27","R.J. Nembhard"," Keller (Keller, TX)  "," SG "," 6-4 / 175 ","89"," 132 27 10 ","132","27","10","rj-nembhard",2017
"41","Christian David"," Vermont Academy (Saxtons River, VT)  "," SG "," 6-5 / 185 ","89"," 195 41 2 ","195","41","2","christian-david",2017
"47","Jordan Schakel"," Bishop Montgomery (Torrance, CA)  "," SG "," 6-5 / 180 ","89"," 213 47 21 ","213","47","21","jordan-schakel",2017
"48","Andrew Platek"," Northfield Mount Hermon (Guilderland, NY)  "," SG "," 6-4 / 190 ","89"," 217 48 5 ","217","48","5","andrew-platek",2017
"33","Khalil Garland"," Parkview Magnet (Little Rock, AR)  "," SG "," 6-6 / 195 ","89"," 169 33 2 ","169","33","2","khalil-garland",2017
"50","LiAngelo Ball"," Chino Hills (Chino, CA)  "," SG "," 6-5 / 220 ","89"," 226 50 22 ","226","50","22","liangelo-ball",2017
"51","Chris Duarte"," Redemption Christian Academy (Troy, NY)  "," SG "," 6-5 / 175 ","88"," 237 51 9 ","237","51","9","chris-duarte",2017
"29","Juhwan Harris-Dyson"," Heritage (Northridge, CA)  "," SG "," 6-4 / 190 ","88"," 144 29 16 ","144","29","16","juhwan-harris-dyson",2017
"53","Teddy Allen"," Boys Town (Boys Town, NE)  "," SG "," 6-5 / 215 ","88"," 248 53 1 ","248","53","1","teddy-allen",2017
"34","Anthony Polite"," St Andrew's School (Boca Raton, FL)  "," SG "," 6-6 / 210 ","88"," 180 34 17 ","180","34","17","anthony-polite",2017
"56","Parker Stewart"," Union City (Union City, TN)  "," SG "," 6-5 / 185 ","87"," 273 56 3 ","273","56","3","parker-stewart",2017
"40","Zhaire Smith"," Lakeview Centennial (Garland, TX)  "," SG "," 6-5 / 180 ","87"," 194 40 15 ","194","40","15","zhaire-smith",2017
"55","Jordan Davis"," Dutch Fork (Irmo, SC)  "," SG "," 6-4 / 180 ","87"," 268 55 6 ","268","55","6","jordan-davis",2017
"52","Jahvon Blair"," Orangeville Prep (Mono, ON)  "," SG "," 6-3 / 170 ","87"," 238 52 2 ","238","52","2","jahvon-blair",2017
"76","Adam Seiko"," Sierra Canyon (Chatsworth, CA)  "," SG "," 6-0 / 175 ","87"," 350 76 26 ","350","76","26","adam-seiko",2017
"38","Nana Akenten"," Bolingbrook (Bolingbrook, IL)  "," SG "," 6-6 / 200 ","87"," 187 38 7 ","187","38","7","nana-akenten",2017
"43","Clyde Trapp"," Lower Richland (Hopkins, SC)  "," SG "," 6-5 / 188 ","87"," 205 43 4 ","205","43","4","clyde-trapp",2017
"59","Curtis Haywood II"," Brewster Academy (Wolfeboro, NH)  "," SG "," 6-4 / 187 ","87"," 279 59 9 ","279","59","9","curtis-haywoodii",2017
"46","David Collins"," First Love Christian Academy (Pittsburgh, PA)  "," SG "," 6-3 / 200 ","87"," 212 46 11 ","212","46","11","david-collins",2017
"64","Jarrett Culver"," Coronado (Lubbock, TX)  "," SG "," 6-5 / 170 ","87"," 312 64 24 ","312","64","24","jarrett-culver",2017
"36","Devante Doutrive"," Birmingham (Van Nuys, CA)  "," SG "," 6-5 / 190 ","87"," 183 36 20 ","183","36","20","devante-doutrive",2017
"60","Javon Pickett"," Belleville-East (Belleville, IL)  "," SG "," 6-3 / 180 ","87"," 292 60 11 ","292","60","11","javon-pickett",2017
"113","Alec Hickman"," J Serra Catholic (San Juan Capistrano, CA)  "," SG "," 6-4 / 170 ","87"," 499 113 49 ","499","113","49","alec-hickman",2017
"78","Danny Lewis"," Westlake (Atlanta, GA)  "," SG "," 6-4 / 175 ","87"," 356 78 22 ","356","78","22","danny-lewis",2017
"69","Trevin Knell"," Woods Cross (Woods Cross, UT)  "," SG "," 6-5 / 175 ","87"," 333 69 3 ","333","69","3","trevin-knell",2017
"77","Chris Giles"," Findlay Prep (Plano, TX)  "," SG "," 6-3 / 175 ","87"," 351 77 9 ","351","77","9","chris-giles",2017
"57","Philip Flory"," North (Oshkosh, WI)  "," SG "," 6-4 / 180 ","87"," 276 57 3 ","276","57","3","philip-flory",2017
"45","Jordon Myers"," North Crowley (Fort Worth, TX)  "," SG "," 6-4 / 185 ","87"," 207 45 17 ","207","45","17","jordon-myers",2017
"83","Sasha Stefanovic"," Crown Point (Crown Point, IN)  "," SG "," 6-4 / 195 ","87"," 374 83 15 ","374","83","15","sasha-stefanovic",2017
"82","Marquis Godwin"," Hampton (Hampton, VA)  "," SG "," 6-5 / 180 ","87"," 370 82 18 ","370","82","18","marquis-godwin",2017
"61","Terrell Turner"," Mater Academy Charter (Hialeah, FL)  "," SG "," 6-4 / 180 ","87"," 301 61 31 ","301","61","31","terrell-turner",2017
"79","Anthony Mack"," Blair Academy (Blairstown, NJ)  "," SG "," 6-6 / 215 ","87"," 360 79 14 ","360","79","14","anthony-mack",2017
"63","Tyler Plummer"," Orangeville Prep (La Porte, IN)  "," SG "," 6-4 / 185 ","87"," 305 63 4 ","305","63","4","tyler-plummer",2017
"62","Tyler Foster"," Midd-West (Baltimore, MD)  "," SG "," 6-5 / 178 ","87"," 303 62 14 ","303","62","14","tyler-foster",2017
"84","Jaxon Brenchley"," Mountain Crest (Hyrum, UT)  "," SG "," 6-3 / 180 ","86"," 376 84 4 ","376","84","4","jaxon-brenchley",2017
"65","Parrish Hewitt"," Douglass (Memphis, TN)  "," SG "," 6-2 / - ","86"," 315 65 4 ","315","65","4","parrish-hewitt",2017
"88","Jordan Goldwire"," Norcross (Norcross, GA)  "," SG "," 6-2 / 170 ","86"," 398 88 25 ","398","88","25","jordan-goldwire",2017
"66","Denis Alibegovic"," Downers Grove South (Downers Grove, IL)  "," SG "," 6-4 / 170 ","86"," 317 66 15 ","317","66","15","denis-alibegovic",2017
"67","Austin McCullough"," Portage Central (Portage, MI)  "," SG "," 6-5 / 185 ","86"," 319 67 6 ","319","67","6","austin-mccullough",2017
"87","Caleb Bennett"," Lafayette (Saint Joseph, MO)  "," SG "," 6-5 / 195 ","85"," 383 87 4 ","383","87","4","caleb-bennett",2017
"89","A.J. Caldwell"," Riverview (Sarasota, FL)  "," SG "," 6-3 / 180 ","85"," 404 89 40 ","404","89","40","aj-caldwell",2017
"90","Isaiah Banks"," Centennial (Las Vegas, NV)  "," SG "," 6-3 / 175 ","85"," 406 90 10 ","406","90","10","isaiah-banks",2017
"91","Skyler Nash"," Gould Academy (Bethel, ME)  "," SG "," 6-5 / 215 ","85"," 408 91 1 ","408","91","1","skyler-nash",2017
"75","Bryan Trimble"," Sunrise Christian (Kansas City, MO)  "," SG "," 6-3 / 200 ","85"," 343 75 5 ","343","75","5","bryan-trimble",2017
"114","Tre Evans"," Kilgore (Oklahoma City, OK)  "," SG "," 6-2 / 175 ","84"," 501 114 39 ","501","114","39","tre-evans",2017
"112","Zach Thornhill"," St. James Academy (Lenexa, KS)  "," SG "," 6-4 / 185 ","83"," 496 112 10 ","496","112","10","zach-thornhill",2017
"2","Shai Gilgeous-Alexander"," Hamilton Heights Christian Academy (Chattanooga, TN)  "," CG "," 6-6 / 175 ","98"," 31 2 1 ","31","2","1","shai-gilgeous-alexander",2017
"1","Jalek Felton"," Gray Academy (Mullins, SC)  "," CG "," 6-2 / 175 ","97"," 30 1 1 ","30","1","1","jalek-felton",2017
"4","Marcus Garrett"," Skyline (Dallas, TX)  "," CG "," 6-6 / 180 ","96"," 55 4 3 ","55","4","3","marcus-garrett",2017
"3","Daejon Davis"," Garfield (Seattle, WA)  "," CG "," 6-3 / 170 ","95"," 50 3 3 ","50","3","3","daejon-davis",2017
"8","David Beatty"," Imhotep Institute (Philadelphia, PA)  "," CG "," 6-3 / 170 ","91"," 153 8 7 ","153","8","7","david-beatty",2017
"5","Darryl Morsell"," Mount Saint Joseph (Baltimore, MD)  "," CG "," 6-4 / 200 ","91"," 74 5 3 ","74","5","3","darryl-morsell",2017
"6","Davide Moretti"," Italy (Italy, ITAL)  "," CG "," 6-2 / - ","90"," 98 6 1 ","98","6","1","davide-moretti",2017
"10","Christian Popoola"," Bishop Gorman (American Fork, UT)  "," CG "," 6-3 / 180 ","89"," 221 10 5 ","221","10","5","christian-popoola",2017
"9","Jamal Johnson"," Spain Park (Birmingham, AL)  "," CG "," 6-4 / 170 ","89"," 162 9 5 ","162","9","5","jamal-johnson",2017
"11","Marco Anthony"," Holmes (San Antonio, TX)  "," CG "," 6-6 / 220 ","88"," 244 11 19 ","244","11","19","marco-anthony",2017
"13","Matt Turner"," Blair Academy (Blairstown, NJ)  "," CG "," 6-4 / 170 ","87"," 265 13 9 ","265","13","9","matt-turner",2017
"12","Maxwell Evans"," Bellaire (Bellaire, TX)  "," CG "," 6-2 / 165 ","87"," 247 12 20 ","247","12","20","maxwell-evans",2017
"23","Geo Baker"," Proctor Academy (Derry, NH)  "," CG "," 6-2 / - ","87"," 414 23 12 ","414","23","12","geo-baker",2017
"14","Howard Washington"," Athlete Institute Basketball Academy (Buffalo, NY)  "," CG "," 6-3 / 160 ","87"," 289 14 3 ","289","14","3","howard-washington",2017
"15","Jamir Harris"," St. Patrick (Elizabeth, NJ)  "," CG "," 6-2 / 185 ","87"," 294 15 10 ","294","15","10","jamir-harris",2017
"17","Cedric Russell"," Peabody Magnet (Alexandria, LA)  "," CG "," 6-3 / 185 ","87"," 341 17 4 ","341","17","4","cedric-russell",2017
"18","Elijah Joiner"," Curie Metropolitan (Chicago, IL)  "," CG "," 6-3 / 190 ","87"," 359 18 18 ","359","18","18","elijah-joiner",2017
"16","Chyree Walker"," The Bullis School (Fairfax, VA)  "," CG "," 6-4 / 170 ","87"," 326 16 7 ","326","16","7","chyree-walker",2017
"20","Mario Haskett"," Lloyd C. Bird (Chesterfield, VA)  "," CG "," 6-3 / 165 ","86"," 394 20 20 ","394","20","20","mario-haskett",2017
"21","Teshaun Hightower"," Mt. Zion Prep (Baltimore, MD)  "," CG "," 6-4 / 180 ","86"," 396 21 10 ","396","21","10","teshaun-hightower",2017
"22","Mike Adewunmi"," Lake Ridge (Mansfield, TX)  "," CG "," 6-4 / 190 ","86"," 397 22 32 ","397","22","32","mike-adewunmi",2017
"19","Kane Williams"," South Paulding (Douglasville, GA)  "," CG "," 6-5 / 175 ","85"," 386 19 23 ","386","19","23","kane-williams",2017
"1","Michael Porter"," Nathan Hale (Seattle, WA)  "," SF "," 6-10 / 213 ","100"," 2 1 1 ","2","1","1","michael-porter",2017
"3","Jarred Vanderbilt"," Victory Prep (Bellaire, TX)  "," SF "," 6-9 / 213 ","99"," 12 3 1 ","12","3","1","jarred-vanderbilt",2017
"4","Troy Brown"," Centennial (Las Vegas, NV)  "," SF "," 6-7 / 210 ","99"," 13 4 1 ","13","4","1","troy-brown",2017
"5","Brian Bowen"," La Lumiere School (La Porte, IN)  "," SF "," 6-7 / 194 ","99"," 19 5 2 ","19","5","2","brian-bowen",2017
"2","Kevin Knox"," Tampa Catholic (Tampa, FL)  "," SF "," 6-9 / 206 ","98"," 11 2 3 ","11","2","3","kevin-knox",2017
"6","Kris Wilkes"," North Central (Indianapolis, IN)  "," SF "," 6-8 / 195 ","98"," 21 6 3 ","21","6","3","kris-wilkes",2017
"7","Emmanuel Akot"," Wasatch Academy (Mount Pleasant, UT)  "," SF "," 6-7 / 190 ","98"," 24 7 1 ","24","7","1","emmanuel-akot",2017
"9","Jermaine Samuels"," The Rivers School (Weston, MA)  "," SF "," 6-6 / 190 ","97"," 46 9 1 ","46","9","1","jermaine-samuels",2017
"21","Jordan Nwora"," Vermont Academy (Buffalo, NY)  "," SF "," 6-8 / 220 ","96"," 88 21 1 ","88","21","1","jordan-nwora",2017
"11","D.J. Harvey"," DeMatha Catholic (Hyattsville, MD)  "," SF "," 6-6 / 185 ","96"," 49 11 1 ","49","11","1","dj-harvey",2017
