"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"2","Steven Enoch","C","Norwalk, CTSt. Thomas More School","6'10''","220","81","UConn","steven-enoch","https://www.sports-reference.com/cbb/players/steven-enoch-1.html"
"3","Jared Wilson-Frame","SF","Windsor, CTNotre Dame Prep","6'4''","190","76","unknown","jared-wilson-frame","https://www.sports-reference.com/cbb/players/jared-wilson-frame-1.html"
"4","Jackson Donahue","SG","Pawcatuck, CTNorthfield-Mt. Hermon School","6'1''","","65","Pennsylvania","jackson-donahue","https://www.sports-reference.com/cbb/players/jackson-donahue-1.html"
"1","Donte DiVincenzo","SG","Wilmington, DESalesianum School","6'4''","170","80","Villanova","donte-divincenzo","https://www.sports-reference.com/cbb/players/donte-divincenzo-1.html"
"1","Dwayne Bacon","SG","Lakeland, FLOak Hill Academy","6'6''","209","91","Florida St","dwayne-bacon","https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html"
"2","Antonio Blakeney","SG","Orlando, FLOak Ridge High School","6'4''","170","90","LSU","antonio-blakeney","https://www.sports-reference.com/cbb/players/antonio-blakeney-1.html"
"3","Deng Adel","SF","Bradenton, FLVictory Rock Prep","6'7''","190","88","Louisville","deng-adel","https://www.sports-reference.com/cbb/players/deng-adel-1.html"
"4","Prince Ali","SG","Pembroke Pines, FLThe Sagemont School","6'4''","180","87","UCLA","prince-ali","https://www.sports-reference.com/cbb/players/prince-ali-1.html"
"5","Maverick Rowan","SF","Fort Lauderdale, FLCardinal Gibbons High School","6'6''","190","86","NC State","maverick-rowan","https://www.sports-reference.com/cbb/players/maverick-rowan-1.html"
"6","Corey Sanders","PG","Lakeland, FLFaith Baptist Christian Academy","6'2''","170","85","Rutgers","corey-sanders","https://www.sports-reference.com/cbb/players/corey-sanders-1.html"
"7","Kevarrius Hayes","PF","Live Oak, FLSuwannee High School","6'9''","190","85","Florida","kevarrius-hayes","https://www.sports-reference.com/cbb/players/kevarrius-hayes-1.html"
"8","Keith Stone","SF","Deerfield Beach, FLZion Lutheran Christian School","6'7''","240","83","Florida","keith-stone","https://www.sports-reference.com/cbb/players/keith-stone-1.html"
"9","Haanif Cheatham","SG","Fort Lauderdale, FLPembroke Pines Charter School","6'5''","175","83","Marquette","haanif-cheatham","https://www.sports-reference.com/cbb/players/haanif-cheatham-1.html"
"10","Anthony Lawrence Jr.","SF","Saint Petersburg, FLLakewood Senior High School","6'7''","185","81","Miami","anthony-lawrencejr","https://www.sports-reference.com/cbb/players/anthony-lawrencejr-1.html"
"11","Tacko Fall","C","Tavares, FLLiberty Christian Prep","7'5''","270","81","UCF","tacko-fall","https://www.sports-reference.com/cbb/players/tacko-fall-1.html"
"12","Alex Owens","C","Orlando, FLOak Ridge High School","6'8''","240","80","Providence","alex-owens","https://www.sports-reference.com/cbb/players/alex-owens-1.html"
"13","Deng Riak","C","Bradenton, FLVictory Rock Prep","6'10''","215","80","E Carolina","deng-riak","https://www.sports-reference.com/cbb/players/deng-riak-1.html"
"14","Eric Cobb","C","Jacksonville, FLPotters House Christian","6'9''","245","80","S Carolina","eric-cobb","https://www.sports-reference.com/cbb/players/eric-cobb-1.html"
"15","Kerry Blackshear Jr.","PF","Orlando, FLMaynard Evans High School","6'9''","220","80","Virginia Tech","kerry-blackshearjr","https://www.sports-reference.com/cbb/players/kerry-blackshearjr-1.html"
"16","Jean Marc Christ Koumadje","C","Montverde, FLMontverde Academy","7'2''","235","80","Florida St","jean-marc-christ-koumadje","https://www.sports-reference.com/cbb/players/jean-marc-christ-koumadje-1.html"
"17","Tulio Da Silva","PF","Jacksonville, FLArlington Country Day School","6'8''","200","80","S Florida","tulio-da-silva","https://www.sports-reference.com/cbb/players/tulio-da-silva-1.html"
"18","John Collins","PF","West Palm Beach, FLCardinal Newman High School","6'8''","221","80","Wake Forest","john-collins","https://www.sports-reference.com/cbb/players/john-collins-1.html"
"19","Ryan McMahon","SG","Sarasota, FLCardinal Mooney High School","6'1''","165","80","Louisville","ryan-mcmahon","https://www.sports-reference.com/cbb/players/ryan-mcmahon-1.html"
"20","Yankuba Sima","C","Jacksonville, FLElev8 Basketball Academy","6'11''","215","79","St. John's","yankuba-sima","https://www.sports-reference.com/cbb/players/yankuba-sima-1.html"
"21","Matt Milon","SG","Oviedo, FLOviedo High School","6'4''","180","79","Boston College","matt-milon","https://www.sports-reference.com/cbb/players/matt-milon-1.html"
"22","Chance McSpadden","SG","Winter Haven, FLWinter Haven High School","6'3''","175","78","UCF","chance-mcspadden","https://www.sports-reference.com/cbb/players/chance-mcspadden-1.html"
"23","Donovan Hale","SG","Largo, FLLargo High School","6'3''","198","78","unknown","donovan-hale","https://www.sports-reference.com/cbb/players/donovan-hale-1.html"
"24","Derric Jean","SG","Hollywood, FLMcArthur High School","6'1''","165","78","Louisiana Tech","derric-jean","https://www.sports-reference.com/cbb/players/derric-jean-1.html"
"25","Antonio Vrankovic","C","Fort Lauderdale, FLPine Crest High School","6'9''","","77","Duke","antonio-vrankovic","https://www.sports-reference.com/cbb/players/antonio-vrankovic-1.html"
"26","Jonathan Jean Laurent","SF","Orlando, FLDr. Phillips High School","6'6''","192","77","Rutgers","jonathan-jean-laurent","https://www.sports-reference.com/cbb/players/jonathan-jean-laurent-1.html"
"27","Chad Brown","C","Deltona, FLDeltona High School","6'8''","225","77","UCF","chad-brown","https://www.sports-reference.com/cbb/players/chad-brown-1.html"
"28","Eric Turner","SF","The Villages, FLThe Villages Charter High School","6'5''","193","77","Florida Int","eric-turner","https://www.sports-reference.com/cbb/players/eric-turner-1.html"
"29","Malik Maitland","PG","Daytona Beach, FLFather Lopez High School","5'11''","170","76","Morehead St","malik-maitland","https://www.sports-reference.com/cbb/players/malik-maitland-1.html"
"30","C.J. Williamson Jr.","PG","Orlando, FLMaynard Evans High School","6'6''","200","76","Texas Tech","cj-williamsonjr","https://www.sports-reference.com/cbb/players/cj-williamsonjr-1.html"
"31","Barry Brown","SG","Saint Petersburg, FLGibbs High School","6'2''","180","76","Kansas St","barry-brown","https://www.sports-reference.com/cbb/players/barry-brown-1.html"
"32","Michael Green","PG","Fort Lauderdale, FLDillard High School","5'11''","160","75","N Arizona","michael-green","https://www.sports-reference.com/cbb/players/michael-green-1.html"
"33","Ed Porter","SF","Hawthorne, FLHawthorne Senior High School","6'7''","200","75","unknown","ed-porter","https://www.sports-reference.com/cbb/players/ed-porter-1.html"
"34","Michael Stones","PG","Orlando, FLWindermere Prep","6'1''","170","70","Dartmouth","michael-stones","https://www.sports-reference.com/cbb/players/michael-stones-1.html"
"35","Ikeon Smith","SF","Gainesville, FLGainesville High School","6'4''","195","70","Georgia South","ikeon-smith","https://www.sports-reference.com/cbb/players/ikeon-smith-1.html"
"36","Julius Johnson","SG","Cocoa, FLFlorida Air Academy","6'3''","180","69","Richmond","julius-johnson","https://www.sports-reference.com/cbb/players/julius-johnson-1.html"
"37","Kevin McClain","SG","Jasper, FLHamilton County High School","6'2''","165","67","unknown","kevin-mcclain","https://www.sports-reference.com/cbb/players/kevin-mcclain-1.html"
"38","Frederick Benzon","PG","Gainesville, FLThe Rock School","6'2''","178","67","unknown","frederick-benzon","https://www.sports-reference.com/cbb/players/frederick-benzon-1.html"
"39","Sajon Ford","PF","Saint Petersburg, FLGibbs High School","6'9''","190","65","Northeastern","sajon-ford","https://www.sports-reference.com/cbb/players/sajon-ford-1.html"
"40","Tyquan Merritt","PG","Orlando, FLOak Ridge High School","5'11''","","65","unknown","tyquan-merritt","https://www.sports-reference.com/cbb/players/tyquan-merritt-1.html"
"41","Admir Radoncic","PF","Jacksonville, FLMandarin High School","6'7''","230","65","unknown","admir-radoncic","https://www.sports-reference.com/cbb/players/admir-radoncic-1.html"
"42","Mark Matthews","SG","Fort Myers, FLFort Myers High School","6'5''","210","63","UNC Wilmington","mark-matthews","https://www.sports-reference.com/cbb/players/mark-matthews-1.html"
"1","Jaylen Brown","SF","Alpharetta, GAWheeler High School","6'7''","220","96","California","jaylen-brown","https://www.sports-reference.com/cbb/players/jaylen-brown-1.html"
"2","Malik Beasley","SG","Atlanta, GASt. Francis High School","6'4''","185","88","Florida St","malik-beasley","https://www.sports-reference.com/cbb/players/malik-beasley-1.html"
"3","Noah Dickerson","PF","Atlanta, GAMontverde Academy","6'8''","237","85","Washington","noah-dickerson","https://www.sports-reference.com/cbb/players/noah-dickerson-1.html"
"4","Daniel Giddens","C","Marietta, GAOak Hill Academy","6'10''","240","85","Ohio State","daniel-giddens","https://www.sports-reference.com/cbb/players/daniel-giddens-1.html"
"5","Doral Moore","C","Locust Grove, GAMontverde Academy","7'0''","215","85","Wake Forest","doral-moore","https://www.sports-reference.com/cbb/players/doral-moore-1.html"
"6","Damon Wilson Jr.","PG","Powder Springs, GAOur Savior New American School","6'5''","200","83","Pittsburgh","damon-wilsonjr","https://www.sports-reference.com/cbb/players/damon-wilsonjr-1.html"
"7","Kaiser Gates","PF","Alpharetta, GASt. Francis High School","6'8''","185","80","Xavier","kaiser-gates","https://www.sports-reference.com/cbb/players/kaiser-gates-1.html"
"8","Shawntrez Davis","PF","LaGrange, GASound Doctrine Christian Academy","6'8''","205","80","unknown","shawntrez-davis","https://www.sports-reference.com/cbb/players/shawntrez-davis-1.html"
"9","Derek Ogbeide","C","Mableton, GAPebblebrook High School","6'9''","235","80","Georgia","derek-ogbeide","https://www.sports-reference.com/cbb/players/derek-ogbeide-1.html"
"10","Ty Hudson","PG","Sandy Springs, GAPebblebrook High School","6'1''","185","80","Clemson","ty-hudson","https://www.sports-reference.com/cbb/players/ty-hudson-1.html"
"11","Tookie Brown","PG","Madison, GAMorgan County High School","5'11''","180","80","Georgia South","tookie-brown","https://www.sports-reference.com/cbb/players/tookie-brown-1.html"
"12","Terrence Phillips","PG","College Park, GAOak Hill Academy","5'11''","170","79","Missouri","terrence-phillips","https://www.sports-reference.com/cbb/players/terrence-phillips-1.html"
"13","Will Jackson","SG","Athens, GAAthens Christian School","6'4''","190","79","Georgia","will-jackson","https://www.sports-reference.com/cbb/players/will-jackson-1.html"
"14","Marcus Sheffield","SF","Alpharetta, GAChattahoochee High School","6'5''","180","79","Stanford","marcus-sheffield","https://www.sports-reference.com/cbb/players/marcus-sheffield-1.html"
"15","Tre Scott","SF","Darien, GAMcIntosh County Academy","6'7''","200","78","Cincinnati","tre-scott","https://www.sports-reference.com/cbb/players/tre-scott-1.html"
"16","Bryce Brown","SG","Decatur, GATucker High School","6'2''","183","78","Auburn","bryce-brown","https://www.sports-reference.com/cbb/players/bryce-brown-1.html"
"17","Justin Ravenel","PG","Decatur, GAGreenforest Christian Academy","6'3''","175","77","Florida A&M","justin-ravenel","https://www.sports-reference.com/cbb/players/justin-ravenel-1.html"
"18","Terrance Birdsong","SF","Decatur, GASouthwest DeKalb High School","6'5''","","77","unknown","terrance-birdsong","https://www.sports-reference.com/cbb/players/terrance-birdsong-1.html"
"19","Courtney Alexander II","SF","Mableton, GAWhitefield Academy","6'6''","190","77","unknown","courtney-alexanderii","https://www.sports-reference.com/cbb/players/courtney-alexanderii-1.html"
"20","Kejuan Johnson","PF","Marietta, GAHargrave Military Academy","6'6''","210","76","unknown","kejuan-johnson","https://www.sports-reference.com/cbb/players/kejuan-johnson-1.html"
"21","Jerron Love","PG","Marietta, GAQuality Education Academy","5'10''","165","75","unknown","jerron-love","https://www.sports-reference.com/cbb/players/jerron-love-1.html"
"22","Juan Carlos Reyes","C","LaGrange, GASound Doctrine Christian Academy","6'10''","223","75","unknown","juan-carlos-reyes","https://www.sports-reference.com/cbb/players/juan-carlos-reyes-1.html"
"23","Jashawn Brooks","SF","Augusta, GAWestminster School","6'3''","","75","unknown","jashawn-brooks","https://www.sports-reference.com/cbb/players/jashawn-brooks-1.html"
"24","Shembari Phillips","SG","Tucker, GAWheeler High School","6'4''","185","75","Tennessee","shembari-phillips","https://www.sports-reference.com/cbb/players/shembari-phillips-1.html"
"25","Anthony Rice","PG","Decatur, GAColumbia High School","6'0''","185","70","unknown","anthony-rice","https://www.sports-reference.com/cbb/players/anthony-rice-1.html"
"1","Malek Harwell","PG","Pocatello, IDCentury High School","6'3''","175","75","Boise State","malek-harwell","https://www.sports-reference.com/cbb/players/malek-harwell-1.html"
"2","Stefan Gonzalez","PG","Pocatello, IDHighland High School","6'2''","185","60","St Mary's","stefan-gonzalez","https://www.sports-reference.com/cbb/players/stefan-gonzalez-1.html"
"1","Jalen Brunson","PG","Lincolnshire, ILAdlai E. Stevenson High School","6'1''","180","90","Villanova","jalen-brunson","https://www.sports-reference.com/cbb/players/jalen-brunson-1.html"
"2","Charles Matthews","SG","Chicago, ILSaint Rita High School","6'5''","175","87","Kentucky","charles-matthews","https://www.sports-reference.com/cbb/players/charles-matthews-1.html"
"3","Ed Morrow Jr.","PF","Chicago, ILSimeon Career Academy","6'7''","215","85","Nebraska","ed-morrowjr","https://www.sports-reference.com/cbb/players/ed-morrowjr-1.html"
"4","D.J. Williams","SF","Chicago, ILSimeon Career Academy","6'7''","202","85","Illinois","dj-williams","https://www.sports-reference.com/cbb/players/dj-williams-1.html"
"5","Glynn Watson","PG","Westchester, ILSaint Joseph High School","5'11''","160","84","Nebraska","glynn-watson","https://www.sports-reference.com/cbb/players/glynn-watson-1.html"
"6","Joseph Toye","SF","Chicago, ILWhitney Young High School","6'7''","180","81","Vanderbilt","joseph-toye","https://www.sports-reference.com/cbb/players/joseph-toye-1.html"
"7","Luwane Pipkins","PG","Chicago, ILBogan High School","5'11''","160","80","UMass","luwane-pipkins","https://www.sports-reference.com/cbb/players/luwane-pipkins-1.html"
"8","Marcus LoVett, Jr.","PG","Chicago, ILMorgan Park High School","6'0''","165","80","St. John's","marcus-lovett,jr","https://www.sports-reference.com/cbb/players/marcus-lovett,jr-1.html"
"9","Aaron Jordan","SG","Plainfield, ILPlainfield East High School","6'4''","170","80","Illinois","aaron-jordan","https://www.sports-reference.com/cbb/players/aaron-jordan-1.html"
"10","Isaiah Moss","SF","Chicago, ILSimeon Career Academy","6'5''","175","80","Iowa","isaiah-moss","https://www.sports-reference.com/cbb/players/isaiah-moss-1.html"
