"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"1","Danjel Purifoy","SF","Centerville, ALHargrave Military Academy","6'7''","210","85","Auburn","danjel-purifoy","https://www.sports-reference.com/cbb/players/danjel-purifoy-1.html"
"2","Donta' Hall","PF","Luverne, ALLuverne High School","6'8''","205","83","Alabama","donta-hall","https://www.sports-reference.com/cbb/players/donta-hall-1.html"
"3","Joseph Struggs","C","Montgomery, ALCarver High School","6'9''","185","80","Miss. St","joseph-struggs","https://www.sports-reference.com/cbb/players/joseph-struggs-1.html"
"4","Dazon Ingram","SG","Theodore, ALTheodore High School","6'5''","183","80","Alabama","dazon-ingram","https://www.sports-reference.com/cbb/players/dazon-ingram-1.html"
"5","Lamonte Turner","PG","Huntsville, ALArlington Country Day School","6'1''","175","80","Tennessee","lamonte-turner","https://www.sports-reference.com/cbb/players/lamonte-turner-1.html"
"6","Brandon Austin","SF","Montgomery, ALCarver High School","6'5''","180","79","Alabama","brandon-austin","https://www.sports-reference.com/cbb/players/brandon-austin-1.html"
"1","Craig Randall","PG","Phoenix, AZShadow Mountain High School","6'4''","190","79","Memphis","craig-randall","https://www.sports-reference.com/cbb/players/craig-randall-1.html"
"2","Dane Kuiper","SF","Tempe, AZCorona Del Sol High School","6'6''","190","75","New Mexico","dane-kuiper","https://www.sports-reference.com/cbb/players/dane-kuiper-1.html"
"3","Brandon Clarke","PF","Phoenix, AZDesert Vista High School","6'7''","190","75","San José St","brandon-clarke","https://www.sports-reference.com/cbb/players/brandon-clarke-1.html"
"4","Sammy Barnes-Thompkins","SG","Phoenix, AZSunnyslope High School","6'3''","175","65","Boston College","sammy-barnes-thompkins","https://www.sports-reference.com/cbb/players/sammy-barnes-thompkins-1.html"
"5","Nate Renfro","SF","Tucson, AZSahuaro High School","6'7''","175","62","unknown","nate-renfro","https://www.sports-reference.com/cbb/players/nate-renfro-1.html"
"6","Tarion May","PG","Laveen, AZCesar Chavez High School","6'0''","155","61","unknown","tarion-may","https://www.sports-reference.com/cbb/players/tarion-may-1.html"
"7","Rashaad Goolsby","SF","Laveen, AZCesar Chavez High School","6'4''","185","60","unknown","rashaad-goolsby","https://www.sports-reference.com/cbb/players/rashaad-goolsby-1.html"
"8","Terrence Johnson","SG","NA, NACienega High School","6'3''","165","60","unknown","terrence-johnson","https://www.sports-reference.com/cbb/players/terrence-johnson-1.html"
"9","Kenzo Nudo","SG","Scottsdale, AZChaparral High School","6'3''","185","59","Grand Canyon","kenzo-nudo","https://www.sports-reference.com/cbb/players/kenzo-nudo-1.html"
"10","Ryan Bayster","SF","Scottsdale, AZChaparral High School","6'5''","185","59","unknown","ryan-bayster","https://www.sports-reference.com/cbb/players/ryan-bayster-1.html"
"11","Jalen Jenkins","PG","Mesa, AZRed Mountain High School","6'3''","170","59","unknown","jalen-jenkins","https://www.sports-reference.com/cbb/players/jalen-jenkins-1.html"
"12","Delano Jones","PG","Tempe, AZTempe High School","6'1''","155","59","unknown","delano-jones","https://www.sports-reference.com/cbb/players/delano-jones-1.html"
"1","KeVaughn Allen","SG","Little Rock, ARNorth Little Rock High School","6'3''","170","85","Florida","kevaughn-allen","https://www.sports-reference.com/cbb/players/kevaughn-allen-1.html"
"2","Victor Dukes","SG","Jonesboro, ARNettleton High School","6'3''","","78","unknown","victor-dukes","https://www.sports-reference.com/cbb/players/victor-dukes-1.html"
"1","Ivan Rabb","PF","Oakland, CABishop O'Dowd High School","6'11''","210","94","California","ivan-rabb","https://www.sports-reference.com/cbb/players/ivan-rabb-1.html"
"2","Derryck Thornton","PG","Chatsworth, CAFindlay College Prep","6'1''","175","90","Duke","derryck-thornton","https://www.sports-reference.com/cbb/players/derryck-thornton-1.html"
"3","Justin Simon","PG","Temecula, CABrewster Academy","6'5''","185","87","Arizona","justin-simon","https://www.sports-reference.com/cbb/players/justin-simon-1.html"
"4","Tyler Dorsey","SG","Los Angeles, CAMaranatha High School","6'4''","180","87","Oregon","tyler-dorsey","https://www.sports-reference.com/cbb/players/tyler-dorsey-1.html"
"5","Chimezie Metu","PF","Lawndale, CALawndale High School","6'9''","215","87","USC","chimezie-metu","https://www.sports-reference.com/cbb/players/chimezie-metu-1.html"
"6","Marquese Chriss","PF","Elk Grove, CAPleasant Grove High School","6'8''","200","85","Washington","marquese-chriss","https://www.sports-reference.com/cbb/players/marquese-chriss-1.html"
"7","Stephen Thompson Jr.","SG","Torrance, CABishop Montgomery High School","6'4''","165","85","Oregon St","stephen-thompsonjr","https://www.sports-reference.com/cbb/players/stephen-thompsonjr-1.html"
"8","Jeremy Hemsley","SG","La Verne, CADamien High School","6'4''","190","85","San Diego St","jeremy-hemsley","https://www.sports-reference.com/cbb/players/jeremy-hemsley-1.html"
"9","Bennie Boatwright","PF","Mission Hills, CAVillage Christian High School","6'9''","220","82","USC","bennie-boatwright","https://www.sports-reference.com/cbb/players/bennie-boatwright-1.html"
"10","Aaron Holiday","PG","North Hollywood, CACampbell Hall High School","6'0''","175","82","UCLA","aaron-holiday","https://www.sports-reference.com/cbb/players/aaron-holiday-1.html"
"11","Kendall Small","PG","Anaheim, CAMayfair High School","6'0''","170","82","Oregon","kendall-small","https://www.sports-reference.com/cbb/players/kendall-small-1.html"
"12","Chance Comanche","C","Beverly Hills, CABeverly Hills High School","6'10''","205","81","Arizona","chance-comanche","https://www.sports-reference.com/cbb/players/chance-comanche-1.html"
"13","Rex Pflueger","SG","San Juan Capistrano, CAMater Dei High School","6'5''","180","81","Notre Dame","rex-pflueger","https://www.sports-reference.com/cbb/players/rex-pflueger-1.html"
"14","Paris Austin","PG","Oakland, CABishop O'Dowd High School","5'11''","155","80","Boise State","paris-austin","https://www.sports-reference.com/cbb/players/paris-austin-1.html"
"15","Sedrick Barefield","PG","Corona, CACentennial High School","6'2''","185","79","SMU","sedrick-barefield","https://www.sports-reference.com/cbb/players/sedrick-barefield-1.html"
"16","Lorne Currie","SG","Los Angeles, CAFairfax High School","6'3''","175","79","Long Beach St","lorne-currie","https://www.sports-reference.com/cbb/players/lorne-currie-1.html"
"17","Lindsey Drew","PG","Los Angeles, CAFairfax High School","6'4''","175","75","Nevada","lindsey-drew","https://www.sports-reference.com/cbb/players/lindsey-drew-1.html"
"18","Kameron Edwards","PF","Etiwanda, CAEtiwanda High School","6'6''","210","75","Pepperdine","kameron-edwards","https://www.sports-reference.com/cbb/players/kameron-edwards-1.html"
"19","Brandon Smith","SF","Santa Ana, CAGodinez Fundamental High School","6'6''","175","75","UC Irvine","brandon-smith","https://www.sports-reference.com/cbb/players/brandon-smith-1.html"
"20","Cameron Walker","SF","Santa Maria, CAErnest Righetti High School","6'7''","190","73","Stanford","cameron-walker","https://www.sports-reference.com/cbb/players/cameron-walker-1.html"
"21","Roderick Williams","SF","Los Angeles, CAPrice High School","6'5''","175","72","unknown","roderick-williams","https://www.sports-reference.com/cbb/players/roderick-williams-1.html"
"22","Serigne Athj","SF","Lake Balboa, CABirmingham High School","6'3''","180","71","Cal Poly","serigne-athj","https://www.sports-reference.com/cbb/players/serigne-athj-1.html"
"23","Eric Rwahwire","SG","San Juan Capistrano, CASaddleback Valley Christian School","6'5''","185","70","UC Riverside","eric-rwahwire","https://www.sports-reference.com/cbb/players/eric-rwahwire-1.html"
"24","Tommy McCarthy","PG","Carlsbad, CALa Costa Canyon High School","6'0''","155","70","Harvard","tommy-mccarthy","https://www.sports-reference.com/cbb/players/tommy-mccarthy-1.html"
"25","Anthony Townes","PF","Modesto, CAModesto Christian High School","6'5''","205","69","Pacific","anthony-townes","https://www.sports-reference.com/cbb/players/anthony-townes-1.html"
"26","Jordan Naughton","C","Rancho Cucamonga, CAEtiwanda High School","6'9''","220","69","Wyoming","jordan-naughton","https://www.sports-reference.com/cbb/players/jordan-naughton-1.html"
"27","Brodricks Jones","PF","Los Angeles, CALawndale High School","6'9''","200","69","unknown","brodricks-jones","https://www.sports-reference.com/cbb/players/brodricks-jones-1.html"
"28","Max Hazzard","PG","Los Angeles, CALoyola High School","5'11''","155","69","UC Irvine","max-hazzard","https://www.sports-reference.com/cbb/players/max-hazzard-1.html"
"29","Kosta Jankovic","SF","La Canada, CARenaissance Academy","6'7''","200","69","unknown","kosta-jankovic","https://www.sports-reference.com/cbb/players/kosta-jankovic-1.html"
"30","Gligorije Rakocevic","C","Montebello, CACantwell Sacred Heart Of Mary High School","6'10''","250","69","Oregon St","gligorije-rakocevic","https://www.sports-reference.com/cbb/players/gligorije-rakocevic-1.html"
"31","Michael Oguine","PG","Reseda, CAChaminade College Prep","6'0''","160","69","Montana","michael-oguine","https://www.sports-reference.com/cbb/players/michael-oguine-1.html"
"32","Armani Collins","SF","San Francisco, CAStuart Hall High School","6'4''","175","69","unknown","armani-collins","https://www.sports-reference.com/cbb/players/armani-collins-1.html"
"33","Noah Blackwell","PG","Roseville, CAWoodcreek High School","6'1''","175","69","Long Beach St","noah-blackwell","https://www.sports-reference.com/cbb/players/noah-blackwell-1.html"
"34","New Williams","SG","Santa Monica, CASanta Monica High School","6'2''","165","69","Auburn","new-williams","https://www.sports-reference.com/cbb/players/new-williams-1.html"
"35","Ke'Jhan Feagin","PG","Long Beach, CALong Beach Polytechnic High School","5'11''","155","68","Santa Clara","kejhan-feagin","https://www.sports-reference.com/cbb/players/kejhan-feagin-1.html"
"36","Roman Davis","SF","Los Angeles, CAWindward School","6'6''","165","68","California","roman-davis","https://www.sports-reference.com/cbb/players/roman-davis-1.html"
"37","Akil Reese","SG","Los Angeles, CAWestchester High School","6'2''","155","68","unknown","akil-reese","https://www.sports-reference.com/cbb/players/akil-reese-1.html"
"38","Alex Copeland","PG","North Hollywood, CAHarvard Westlake High School","6'2''","165","68","Yale","alex-copeland","https://www.sports-reference.com/cbb/players/alex-copeland-1.html"
"39","Brady Twombly","SF","Carlsbad, CALa Costa Canyon High School","6'5''","200","67","N Arizona","brady-twombly","https://www.sports-reference.com/cbb/players/brady-twombly-1.html"
"40","LaRond Williams","PF","Los Angeles, CAPrice High School","6'7''","200","67","Long Beach St","larond-williams","https://www.sports-reference.com/cbb/players/larond-williams-1.html"
"41","Travis Fuller","SF","Carlsbad, CALa Costa Canyon High School","6'7''","195","67","Brown","travis-fuller","https://www.sports-reference.com/cbb/players/travis-fuller-1.html"
"42","Dalton Soffer","SG","San Diego, CAPoway High School","6'4''","190","67","Seton Hall","dalton-soffer","https://www.sports-reference.com/cbb/players/dalton-soffer-1.html"
"43","Kyle Leufroy","SG","La Canada, CAProlific Prep","6'2''","170","67","Lehigh","kyle-leufroy","https://www.sports-reference.com/cbb/players/kyle-leufroy-1.html"
"44","James Washington","PG","Norwalk, CAPrice High School","6'1''","155","67","American","james-washington","https://www.sports-reference.com/cbb/players/james-washington-1.html"
"45","Stone Gettings","PF","Los Angeles, CALoyola High School","6'8''","220","66","Cornell","stone-gettings","https://www.sports-reference.com/cbb/players/stone-gettings-1.html"
"46","Caleb Wilson","SF","Gardena, CAJunipero Serra High School","6'5''","215","66","unknown","caleb-wilson","https://www.sports-reference.com/cbb/players/caleb-wilson-1.html"
"47","Jarrett Brodbeck","SF","Anaheim, CAEsperanza High School","6'4''","185","66","Regis Univ","jarrett-brodbeck","https://www.sports-reference.com/cbb/players/jarrett-brodbeck-1.html"
"48","Damian Wilson Jr.","PG","Woodland Hills, CATaft High School","6'3''","170","66","unknown","damian-wilsonjr","https://www.sports-reference.com/cbb/players/damian-wilsonjr-1.html"
"49","Matt Hauser","SG","Thousand Oaks, CAThousand Oaks High School","6'0''","160","66","Santa Clara","matt-hauser","https://www.sports-reference.com/cbb/players/matt-hauser-1.html"
"1","Austin Conway","PG","Aurora, COOverland High School","5'9''","165","79","Wyoming","austin-conway","https://www.sports-reference.com/cbb/players/austin-conway-1.html"
"2","Chris Moody","PF","Parker, COChaparral High School","6'7''","215","70","unknown","chris-moody","https://www.sports-reference.com/cbb/players/chris-moody-1.html"
"3","Jake Holtzmann","SF","Parker, COChaparral High School","6'6''","180","69","Denver","jake-holtzmann","https://www.sports-reference.com/cbb/players/jake-holtzmann-1.html"
"4","Zach Pirog","C","Highlands Ranch, COThunderRidge High School","6'9''","200","69","Omaha","zach-pirog","https://www.sports-reference.com/cbb/players/zach-pirog-1.html"
"5","Ryan Swan","PF","Aurora, COOverland High School","6'6''","215","68","Air Force","ryan-swan","https://www.sports-reference.com/cbb/players/ryan-swan-1.html"
"6","Troy Green","SG","Denver, COMontbello High School","6'4''","180","65","unknown","troy-green","https://www.sports-reference.com/cbb/players/troy-green-1.html"
"7","MIchael Sparks","PG","Denver, COAbraham Lincoln High School","5'7''","145","60","unknown","michael-sparks","https://www.sports-reference.com/cbb/players/michael-sparks-1.html"
"8","Brian Carey","PG","Denver, CODenver East High School","5'10''","155","59","Texas South","brian-carey","https://www.sports-reference.com/cbb/players/brian-carey-1.html"
"9","Nikola Dodig","PG","Lakewood, COBear Creek High School","6'1''","165","59","unknown","nikola-dodig","https://www.sports-reference.com/cbb/players/nikola-dodig-1.html"
"10","Elijah Ross","PG","Centennial, COEaglecrest High School","5'11''","155","59","unknown","elijah-ross","https://www.sports-reference.com/cbb/players/elijah-ross-1.html"
"11","Ben Egan","SG","Denver, COMountain Range High School","6'2''","175","58","unknown","ben-egan","https://www.sports-reference.com/cbb/players/ben-egan-1.html"
"1","Donovan Mitchell","SG","Greenwich, CTBrewster Academy","6'2''","185","86","Louisville","donovan-mitchell","https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html"
