"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height.espn","Weight.espn","Rating.espn","School","player.id.espn","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
24,"Shawndale Jones","SG","Pittsburgh, PAKiski School","6'3''",NA,58,"NJIT","shawndale-jones","https://www.sports-reference.com/cbb/players/shawndale-jones-1.html","https://www.sports-reference.com/cbb/players/shawndale-jones-1.html","Shawndale Jones","        Guard  ","6-3, 185lb (190cm, 83kg) ","   Pittsburgh, PA","   The Kiski School","NJIT"
28,"Matt Faw","PF","King of Prussia, PAUpper Merion Area High School","6'7''",200,55,"Holy Cross","matt-faw","https://www.sports-reference.com/cbb/players/matt-faw-1.html","https://www.sports-reference.com/cbb/players/matt-faw-1.html","Matt Faw","        Forward  ","6-9, 223lb (206cm, 101kg) ","   King Of Prussia, PA","   Upper Merion Area High School","Holy Cross"
1,"Kimani Lawrence","SF","Providence, RINew Hampton School","6'5''",180,86,"Arizona State","kimani-lawrence","https://www.sports-reference.com/cbb/players/kimani-lawrence-1.html","https://www.sports-reference.com/cbb/players/kimani-lawrence-1.html","Kimani Lawrence","        Forward  ","6-7, 210lb (201cm, 95kg) ","   Providence, RI","   New Hampton School","Arizona State"
2,"Tomas Murphy","C","Wakefield, RINorthfield-Mt. Hermon School","6'8''",195,80,"Northeastern","tomas-murphy","https://www.sports-reference.com/cbb/players/tomas-murphy-1.html","https://www.sports-reference.com/cbb/players/tomas-murphy-1.html","Tomas Murphy","        Forward  ","6-8, 220lb (203cm, 99kg) ","   Wakefield, RI","   Northfield Mount Hermon School","Northeastern"
1,"Jalek Felton","SG","Mullins, SCGray Collegiate Academy","6'3''",180,91,"UNC","jalek-felton","https://www.sports-reference.com/cbb/players/jalek-felton-1.html","https://www.sports-reference.com/cbb/players/jalek-felton-1.html","Jalek Felton","        Guard  ","6-3, 190lb (190cm, 86kg) ","   West Columbia, SC","   Gray Collegiate Academy","UNC"
2,"Devontae Shuler","SG","Irmo, SCOak Hill Academy","6'3''",185,82,"Ole Miss","devontae-shuler","https://www.sports-reference.com/cbb/players/devontae-shuler-1.html","https://www.sports-reference.com/cbb/players/devontae-shuler-1.html","Devontae Shuler","        Guard  ","6-2, 192lb (188cm, 87kg) ","   Irmo, SC","   Oak Hill Academy","Ole Miss"
3,"Nicolas Claxton","PF","Greenville, SCLegacy Early College High School","6'10''",285,81,"Georgia","nicolas-claxton","https://www.sports-reference.com/cbb/players/nicolas-claxton-1.html","https://www.sports-reference.com/cbb/players/nicolas-claxton-1.html","Nicolas Claxton","        Forward  ","6-11, 220lb (211cm, 99kg) ","   Greenville, SC","   Legacy Charter School","Georgia"
1,"Isaiah Stokes","C","Memphis, TNIMG Academy","6'8''",273,85,"Florida","isaiah-stokes","https://www.sports-reference.com/cbb/players/isaiah-stokes-1.html","https://www.sports-reference.com/cbb/players/isaiah-stokes-1.html","Isaiah Stokes","        Forward  ","6-8, 270lb (203cm, 122kg) ","   Memphis, TN","   IMG Academy","Florida"
1,"Jarred Vanderbilt","PF","Houston, TXVictory Prep Academy","6'8''",200,93,"Kentucky","jarred-vanderbilt","https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html","https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html","Jarred Vanderbilt","        Forward  ","6-9, 214lb (206cm, 97kg) ","  High School: Victory Prep School","RSCI Top 100: 13 (2017)","Kentucky"
2,"Marcus Garrett","PG","Dallas, TXSkyline High School","6'5''",180,85,"Kansas","marcus-garrett","https://www.sports-reference.com/cbb/players/marcus-garrett-1.html","https://www.sports-reference.com/cbb/players/marcus-garrett-1.html","Marcus Garrett","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Dallas, TX","   Skyline High School","Kansas"
3,"Savion Flagg","SF","Alvin, TXAlvin High School","6'7''",200,84,"Texas A&M","savion-flagg","https://www.sports-reference.com/cbb/players/savion-flagg-1.html","https://www.sports-reference.com/cbb/players/savion-flagg-1.html","Savion Flagg","        Guard  ","6-7, 217lb (201cm, 98kg) ","   Alvin, TX","   Alvin High School","Texas A&M"
4,"Royce Hamm","PF","Houston, TXAldine High School","6'8''",210,84,"Texas","royce-hamm","https://www.sports-reference.com/cbb/players/royce-hamm-1.html","https://www.sports-reference.com/cbb/players/royce-hammjr-1.html","Royce Hamm Jr.","        Forward  ","6-8, 240lb (203cm, 108kg) ","   Houston, TX","   Aldine Nimitz High School","Texas"
5,"Victor Bailey Jr.","SG","Austin, TXMcNeil High School","6'3''",175,83,"Oregon","victor-baileyjr","https://www.sports-reference.com/cbb/players/victor-baileyjr-1.html","https://www.sports-reference.com/cbb/players/victor-baileyjr-1.html","Victor Bailey Jr.","        Guard  ","6-4, 190lb (193cm, 86kg) ","   Austin, TX","   McNeil High School","Oregon"
6,"Fabian White","PF","Humble, TXAtascocita High School","6'7''",210,82,"Houston","fabian-white","https://www.sports-reference.com/cbb/players/fabian-white-1.html","https://www.sports-reference.com/cbb/players/fabian-whitejr-1.html","Fabian White Jr.","        Forward  ","6-7, 230lb (201cm, 104kg) ","   Atascocita, TX","   Atascocita High School","Houston"
7,"Isiah Jasey","C","Killeen, TXSunrise Christian Academy","6'9''",220,82,"Texas A&M","isiah-jasey","https://www.sports-reference.com/cbb/players/isiah-jasey-1.html","https://www.sports-reference.com/cbb/players/isiah-jasey-1.html","Isiah Jasey","        Forward  ","6-10, 246lb (208cm, 111kg) ","   Killeen, TX","   Sunrise Christian Academy","Texas A&M"
8,"Jase Febres","SG","Houston, TXWestfield High School","6'5''",210,82,"Texas","jase-febres","https://www.sports-reference.com/cbb/players/jase-febres-1.html","https://www.sports-reference.com/cbb/players/jase-febres-1.html","Jase Febres","        Guard  ","6-5, 190lb (196cm, 86kg) ","   Houston, TX","   Westfield High School","Texas"
9,"Kevin Samuel","C","Houston, TXRedemption Christian Homeschool Academy","6'10''",220,82,"TCU","kevin-samuel","https://www.sports-reference.com/cbb/players/kevin-samuel-1.html","https://www.sports-reference.com/cbb/players/kevin-samuel-3.html","Kevin Samuel","        Center  ","6-11, 250lb (211cm, 113kg) ","   Codrington Village, ","   Redemption Christian HS","TCU"
12,"T.J. Starks","PG","Lancaster, TXLancaster High School","6'2''",185,81,"Texas A&M","tj-starks","https://www.sports-reference.com/cbb/players/tj-starks-1.html","https://www.sports-reference.com/cbb/players/tj-starks-1.html","TJ Starks","        Guard  ","6-2, 196lb (188cm, 88kg) ","   Dallas, TX","   Lancaster High School","Texas A&M"
13,"R.J. Nembhard","PG","Keller, TXKeller High School","6'2''",175,80,"TCU","rj-nembhard","https://www.sports-reference.com/cbb/players/rj-nembhard-1.html","https://www.sports-reference.com/cbb/players/rj-nembhard-1.html","RJ Nembhard","        Guard  ","6-4, 195lb (193cm, 88kg) ","   Keller, TX","   Keller Central High School","TCU"
14,"Darius McNeill","PG","Houston, TXWestfield High School","6'3''",175,80,"California","darius-mcneill","https://www.sports-reference.com/cbb/players/darius-mcneill-1.html","https://www.sports-reference.com/cbb/players/darius-mcneill-1.html","Darius McNeill","        Guard  ","6-3, 182lb (190cm, 82kg) ","   Houston, TX","   Westfield High School","California"
16,"Tristan Clark","PF","San Antonio, TXKaren Wagner High School","6'8''",220,79,"Baylor","tristan-clark","https://www.sports-reference.com/cbb/players/tristan-clark-1.html","https://www.sports-reference.com/cbb/players/tristan-clark-1.html","Tristan Clark","        Forward  ","6-9, 240lb (206cm, 108kg) ","   San Antonio, TX","   Findlay College Prep","Baylor"
17,"Jarrett Culver","SG","Lubbock, TXCoronado High School","6'5''",185,79,"Texas Tech","jarrett-culver","https://www.sports-reference.com/cbb/players/jarrett-culver-1.html","https://www.sports-reference.com/cbb/players/jarrett-culver-1.html","Jarrett Culver","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Lubbock, TX","   Coronado High School","Texas Tech"
18,"Marco Anthony","SG","San Antonio, TXHolmes High School","6'5''",200,79,"Virginia","marco-anthony","https://www.sports-reference.com/cbb/players/marco-anthony-1.html","https://www.sports-reference.com/cbb/players/marco-anthony-1.html","Marco Anthony","        Guard  ","6-4, 212lb (193cm, 96kg) ","   San Antonio, TX","   Oliver Wendell Holmes High School","Virginia"
19,"Maxwell Evans","PG","Houston, TXBellaire High School","6'1''",170,79,"Vanderbilt","maxwell-evans","https://www.sports-reference.com/cbb/players/maxwell-evans-1.html","https://www.sports-reference.com/cbb/players/maxwell-evans-1.html","Maxwell Evans","        Guard  ","6-2, 192lb (188cm, 87kg) ","   Houston, TX","   Bellaire High School","Vanderbilt"
20,"Trevor Moore","SF","Houston, TXSouth Kent School","6'5''",195,79,"Cincinnati","trevor-moore","https://www.sports-reference.com/cbb/players/trevor-moore-1.html","https://www.sports-reference.com/cbb/players/trevor-moore-1.html","Trevor Moore","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Houston, TX","   South Kent School","Cincinnati"
24,"Chris Giles","PG","Plano, TXFindlay College Prep","6'3''",193,75,"Oklahoma","chris-giles","https://www.sports-reference.com/cbb/players/chris-giles-1.html","https://www.sports-reference.com/cbb/players/chris-giles-5.html","Chris Giles","        Guard  ","6-3, 193lb (190cm, 87kg) ","   Dallas, TX","   Findlay College Prep","Oklahoma"
1,"Matt Coleman","PG","Norfolk, VAOak Hill Academy","6'1''",174,89,"Texas","matt-coleman","https://www.sports-reference.com/cbb/players/matt-coleman-1.html","https://www.sports-reference.com/cbb/players/matt-coleman-3.html","Matt Coleman","        Guard  ","6-2, 180lb (188cm, 81kg) ","   Norfolk, VA","   Oak Hill Academy","Texas"
2,"Ejike Obinna","C","Ashburn, VAVirginia Academy","6'9''",230,82,"Vanderbilt","ejike-obinna","https://www.sports-reference.com/cbb/players/ejike-obinna-1.html","https://www.sports-reference.com/cbb/players/ejike-obinna-1.html","Ejike Obinna","        Forward  ","6-10, 234lb (208cm, 106kg) ","   Enugu, Nigeria","   Virginia Academy","Vanderbilt"
3,"Nate Watson","C","Arlington, VABishop O'Connell High School","6'8''",250,82,"Providence","nate-watson","https://www.sports-reference.com/cbb/players/nate-watson-1.html","https://www.sports-reference.com/cbb/players/nate-watson-1.html","Nate Watson","        Center  ","6-10, 250lb (208cm, 113kg) ","   Arlington, VA","   Bishop O'Connell High School","Providence"
4,"Aamir Simms","PF","Saint George, VABlue Ridge School","6'8''",200,82,"Clemson","aamir-simms","https://www.sports-reference.com/cbb/players/aamir-simms-1.html","https://www.sports-reference.com/cbb/players/aamir-simms-1.html","Aamir Simms","        Forward  ","6-7, 248lb (201cm, 112kg) ","   Palmyra, VA","   Blue Ridge High School","Clemson"
5,"Dajour Dickens","C","Hampton, VABethel High School","6'10''",205,76,"Providence","dajour-dickens","https://www.sports-reference.com/cbb/players/dajour-dickens-1.html","https://www.sports-reference.com/cbb/players/dajour-dickens-1.html","Dajour Dickens","        Forward-Center  ","7-0, 215lb (213cm, 97kg) ","   Hampton, VA","   Bethel High School","Schools: Providence and Old Dominion"
