"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height.espn","Weight.espn","Rating.espn","School","player.id.espn","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
1,"Brandon McCoy","C","San Diego, CACathedral Catholic High School","6'11''",244,93,"UNLV","brandon-mccoy","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html","Brandon McCoy","        Forward  ","7-1, 250lb (216cm, 113kg) ","   Chicago, IL","   Cathedral Catholic High School","UNLV"
3,"Jaylen Hands","PG","San Diego, CAFoothills Christian High School","6'3''",170,93,"UCLA","jaylen-hands","https://www.sports-reference.com/cbb/players/jaylen-hands-1.html","https://www.sports-reference.com/cbb/players/jaylen-hands-1.html","Jaylen Hands","        Guard  ","6-3, 180lb (190cm, 81kg) ","   San Diego, CA","   Foothills Christian","UCLA"
4,"Ethan Thompson","SG","Los Angeles, CABishop Montgomery High School","6'5''",180,88,"Oregon State","ethan-thompson","https://www.sports-reference.com/cbb/players/ethan-thompson-1.html","https://www.sports-reference.com/cbb/players/ethan-thompson-1.html","Ethan Thompson","        Guard  ","6-5, 190lb (196cm, 86kg) ","   Los Angeles, CA","   Bishop Montgomery High School","Oregon State"
5,"Kezie Okpala","SF","Anaheim, CAEsperanza High School","6'8''",195,88,"Stanford","kezie-okpala","https://www.sports-reference.com/cbb/players/kezie-okpala-1.html","https://www.sports-reference.com/cbb/players/kezie-okpala-1.html","Kezie Okpala","        Forward  ","6-9, 215lb (206cm, 97kg) ","   Orange County, CA","   Esperanza High School","Stanford"
6,"Cody Riley","PF","Chatsworth, CASierra Canyon High School","6'8''",240,88,"UCLA","cody-riley","https://www.sports-reference.com/cbb/players/cody-riley-1.html","https://www.sports-reference.com/cbb/players/cody-riley-1.html","Cody Riley","        Forward  ","6-9, 240lb (206cm, 108kg) ","   Kansas City, KS","   Sierra Canyon HS","UCLA"
7,"Jalen Hill","C","Corona, CACentennial High School","6'8''",220,86,"UCLA","jalen-hill","https://www.sports-reference.com/cbb/players/jalen-hill-1.html","https://www.sports-reference.com/cbb/players/jalen-hill-1.html","Jalen Hill","        Guard  ","6-10, 235lb (208cm, 106kg) ","   Corona, CA","   Centennial HS","UCLA"
8,"Jemarl Baker","SG","Eastvale, CARoosevelt High School","6'4''",180,85,"Kentucky","jemarl-baker","https://www.sports-reference.com/cbb/players/jemarl-baker-1.html","https://www.sports-reference.com/cbb/players/jemarl-bakerjr-1.html","Jemarl Baker Jr.","        Guard  ","6-4, 192lb (193cm, 87kg) ","   Menifee, CA","   Eleanor Roosevelt HS","Kentucky"
9,"Ira Lee","PF","Los Angeles, CACrossroads School","6'8''",225,85,"Arizona","ira-lee","https://www.sports-reference.com/cbb/players/ira-lee-1.html","https://www.sports-reference.com/cbb/players/ira-lee-1.html","Ira Lee","        Forward  ","6-7, 235lb (201cm, 106kg) ","   Los Angeles, CA","   Crossroads School","Arizona"
10,"Remy Martin","PG","Chatsworth, CASierra Canyon High School","6'0''",170,83,"Arizona State","remy-martin","https://www.sports-reference.com/cbb/players/remy-martin-1.html","https://www.sports-reference.com/cbb/players/remy-martin-2.html","Remy Martin","        Guard  ","6-0, 170lb (183cm, 77kg) ","   Chatsworth, CA","   Sierra Canyon School","Arizona State"
11,"Evan Battey","C","Villa Park, CAVilla Park High School","6'7''",290,82,"Colorado","evan-battey","https://www.sports-reference.com/cbb/players/evan-battey-1.html","https://www.sports-reference.com/cbb/players/evan-battey-1.html","Evan Battey","        Forward  ","6-8, 264lb (203cm, 119kg) ","   View Park, CA","   Villa Park HS","Colorado"
12,"Justice Sueing","SF","Santa Ana, CAMater Dei High School","6'6''",210,82,"California","justice-sueing","https://www.sports-reference.com/cbb/players/justice-sueing-1.html","https://www.sports-reference.com/cbb/players/justice-sueing-2.html","Justice Sueing","        Forward  ","6-7, 215lb (201cm, 97kg) ","   Honolulu, HI","   Mater Dei High School","California"
13,"Alfred Hollins","SG","San Francisco, CAHillcrest Prep","6'6''",195,81,"Oregon State","alfred-hollins","https://www.sports-reference.com/cbb/players/alfred-hollins-1.html","https://www.sports-reference.com/cbb/players/alfred-hollins-1.html","Alfred Hollins","        Forward  ","6-6, 195lb (198cm, 88kg) ","   San Francisco, CA","   Hillcrest Academy","Oregon State"
14,"Jordan Schakel","SF","Torrance, CABishop Montgomery High School","6'5''",180,81,"San Diego State","jordan-schakel","https://www.sports-reference.com/cbb/players/jordan-schakel-1.html","https://www.sports-reference.com/cbb/players/jordan-schakel-1.html","Jordan Schakel","        Guard  ","6-6, 200lb (198cm, 90kg) ","   Torrance, CA","   Bishop Montgomery High School","San Diego State"
15,"Juhwan Harris-Dyson","SF","Sherman Oaks, CAHeritage High School","6'5''",180,80,"California","juhwan-harris-dyson","https://www.sports-reference.com/cbb/players/juhwan-harris-dyson-1.html","https://www.sports-reference.com/cbb/players/juhwan-harris-dyson-1.html","Juhwan Harris-Dyson","        Guard  ","6-5, 203lb (196cm, 92kg) ","   Northridge, CA","   Heritage High School","California"
17,"Damari Milstead","PG","Hayward, CAMoreau Catholic High School","6'2''",155,79,"Grand Canyon","damari-milstead","https://www.sports-reference.com/cbb/players/damari-milstead-1.html","https://www.sports-reference.com/cbb/players/damari-milstead-1.html","Damari Milstead","        Guard  ","6-2, 190lb (188cm, 86kg) ","   Oakland, CA","   Moreau Catholic High School","Grand Canyon"
18,"Sebastian Much","PF","San Juan Capistrano, CAJSerra Catholic High School","6'7''",200,78,"Princeton","sebastian-much","https://www.sports-reference.com/cbb/players/sebastian-much-1.html","https://www.sports-reference.com/cbb/players/sebastian-much-1.html","Sebastian Much","        Forward  ","6-8, 220lb (203cm, 99kg) ","   Laguna Niguel, CA","   Junipero Serra Catholic High School","Princeton"
21,"Tyler Bey","PF","Los Angeles, CAMiddlebrooks Academy","6'7''",205,76,"Colorado","tyler-bey","https://www.sports-reference.com/cbb/players/tyler-bey-1.html","https://www.sports-reference.com/cbb/players/tyler-bey-1.html","Tyler Bey","        Guard  ","6-7, 218lb (201cm, 98kg) ","   Las Vegas, NV","   Middlebrooks Academy","Colorado"
24,"Jade' Smith","PG","Oakland, CASt. Joseph Notre Dame High School","6'2''",162,75,"Pepperdine","jade-smith","https://www.sports-reference.com/cbb/players/jade-smith-1.html","https://www.sports-reference.com/cbb/players/jade-smith-1.html","Jade' Smith","        Guard  ","6-4, 180lb (193cm, 81kg) ","   Oakland, CA","   St. Joseph Notre Dame High School","Pepperdine"
27,"Zafir Williams","PF","Long Beach, CALong Beach Polytechnic High School","6'5''",175,72,"Loyola Mary","zafir-williams","https://www.sports-reference.com/cbb/players/zafir-williams-1.html","https://www.sports-reference.com/cbb/players/zafir-williams-1.html","Zafir Williams","        Forward  ","6-6, 241lb (198cm, 109kg) ","   Long Beach, CA","   Long Beach Polytechnic High School","Loyola Marymount"
28,"Myles Johnson","C","Long Beach, CALong Beach Polytechnic High School","6'6''",210,70,"Rutgers","myles-johnson","https://www.sports-reference.com/cbb/players/myles-johnson-1.html","https://www.sports-reference.com/cbb/players/myles-johnson-1.html","Myles Johnson","        Center  ","6-10, 255lb (208cm, 115kg) ","   Long Beach, CA","   Long Beach Polytechnic HS","Rutgers"
30,"Deschon Winston","PG","Lake Balboa, CABirmingham High School","6'2''",180,70,"California","deschon-winston","https://www.sports-reference.com/cbb/players/deschon-winston-1.html","https://www.sports-reference.com/cbb/players/deschon-winston-1.html","Deschon Winston","        Guard  ","6-2, 175lb (188cm, 79kg) ","   Woodland Hills, CA","   Birmingham High School","California"
32,"Felipe Haase","C","Los Angeles, CACathedral High School","6'8''",250,70,"South Carolina","felipe-haase","https://www.sports-reference.com/cbb/players/felipe-haase-1.html","https://www.sports-reference.com/cbb/players/felipe-haase-1.html","Felipe Haase","        Forward  ","6-9, 253lb (206cm, 114kg) ","   Osorno, Chile","   Cathedral High School","South Carolina"
34,"Timmy Falls","SG","Dublin, CADublin High School","6'2''",170,69,"Montana","timmy-falls","https://www.sports-reference.com/cbb/players/timmy-falls-1.html","https://www.sports-reference.com/cbb/players/timmy-falls-1.html","Timmy Falls","        Guard  ","6-2, 171lb (188cm, 77kg) ","   Dublin, CA","   Dublin High School","Montana"
36,"Miles Brookins","PF","Santa Ana, CAMater Dei High School","6'8''",210,69,"La Salle","miles-brookins","https://www.sports-reference.com/cbb/players/miles-brookins-1.html","https://www.sports-reference.com/cbb/players/miles-brookins-1.html","Miles Brookins","        Center  ","6-10, 220lb (208cm, 99kg) ","   Cypress, CA","   Mater Dei High School","La Salle"
39,"Adam Seiko","PG","Chatsworth, CASierra Canyon High School","6'2''",175,69,"San Diego State","adam-seiko","https://www.sports-reference.com/cbb/players/adam-seiko-1.html","https://www.sports-reference.com/cbb/players/adam-seiko-1.html","Adam Seiko","        Guard  ","6-3, 195lb (190cm, 88kg) ","   Boston, MA","   Sierra Canyon HS","San Diego State"
44,"Jordan Roberts","SF","Bakersfield, CARidgeview High School","6'8''",195,66,"Long Beach State","jordan-roberts","https://www.sports-reference.com/cbb/players/jordan-roberts-1.html","https://www.sports-reference.com/cbb/players/jordan-roberts-3.html","Jordan Roberts","        Guard  ","6-8, 195lb (203cm, 88kg) ","   Bakersfield, CA","   Ridgeview High School","Long Beach State"
45,"Myles Franklin","SG","Villa Park, CAVilla Park High School","6'3''",155,66,"Northeastern","myles-franklin","https://www.sports-reference.com/cbb/players/myles-franklin-1.html","https://www.sports-reference.com/cbb/players/myles-franklin-2.html","Myles Franklin","        Guard  ","6-4, 170lb (193cm, 77kg) ","   Brea, CA","   Villa Park High School","Northeastern"
47,"Marvin Bragg","SF","Cerritos, CAGahr High School","6'6''",170,65,"American","marvin-bragg","https://www.sports-reference.com/cbb/players/marvin-bragg-1.html","https://www.sports-reference.com/cbb/players/marvin-bragg-1.html","Marvin Bragg","        Guard  ","6-6, 195lb (198cm, 88kg) ","   Cerritos, CA","   Gahr High School","American"
1,"D'Shawn Schwartz","SF","Colorado Springs, COSand Creek High School","6'7''",217,85,"Colorado","dshawn-schwartz","https://www.sports-reference.com/cbb/players/dshawn-schwartz-1.html","https://www.sports-reference.com/cbb/players/dshawn-schwartz-1.html","D'Shawn Schwartz","        Guard  ","6-7, 226lb (201cm, 102kg) ","   Colorado Springs, CO","   Sand Creek High School","Colorado"
4,"Colbey Ross","PG","Aurora, COEaglecrest High School","6'0''",160,69,"Pepperdine","colbey-ross","https://www.sports-reference.com/cbb/players/colbey-ross-1.html","https://www.sports-reference.com/cbb/players/colbey-ross-1.html","Colbey Ross","        Guard  ","6-1, 180lb (185cm, 81kg) ","   Aurora, CO","   Eaglecrest High School","Pepperdine"
9,"Hunter Maldonado","SF","Colorado Springs, COVista Ridge High School","6'5''",180,60,"Wyoming","hunter-maldonado","https://www.sports-reference.com/cbb/players/hunter-maldonado-1.html","https://www.sports-reference.com/cbb/players/hunter-maldonado-1.html","Hunter Maldonado","        Guard  ","6-7, 200lb (201cm, 90kg) ","   Colorado Springs, CO","   Vista Ridge High School","Wyoming"
1,"Tremont Waters","PG","New Haven, CTNotre Dame High School","5'11''",165,89,"LSU","tremont-waters","https://www.sports-reference.com/cbb/players/tremont-waters-1.html","https://www.sports-reference.com/cbb/players/tremont-waters-1.html","Tremont Waters","        Guard  ","5-11, 175lb (180cm, 79kg) ","   New Haven, CT","   Notre Dame High School","LSU"
2,"Walter Whyte","SF","New Haven, CTSt. Luke's School","6'5''",210,78,"Boston U","walter-whyte","https://www.sports-reference.com/cbb/players/walter-whyte-1.html","https://www.sports-reference.com/cbb/players/walter-whyte-1.html","Walter Whyte","        Guard  ","6-6, 210lb (198cm, 95kg) ","   New Haven, CT","   St. Luke's School","Boston University"
3,"Aaron Wheeler","SF","Stamford, CTBrewster Academy","6'7''",180,78,"Purdue","aaron-wheeler","https://www.sports-reference.com/cbb/players/aaron-wheeler-1.html","https://www.sports-reference.com/cbb/players/aaron-wheeler-2.html","Aaron Wheeler","        Forward  ","6-9, 200lb (206cm, 90kg) ","   Stamford, CT","   Brewster Academy","Purdue"
4,"Matt Turner","SG","Trumbull, CTBlair Academy","6'3''",170,76,"Santa Clara","matt-turner","https://www.sports-reference.com/cbb/players/matt-turner-1.html","https://www.sports-reference.com/cbb/players/matt-turner-2.html","Matt Turner","        Guard  ","6-3, 175lb (190cm, 79kg) ","   Trumbull, CT","   Blair Academy","Schools: Santa Clara and Marist"
5,"Mike McGuirl","SG","Manchester, CTEast Catholic High School","6'2''",175,69,"Kansas State","mike-mcguirl","https://www.sports-reference.com/cbb/players/mike-mcguirl-1.html","https://www.sports-reference.com/cbb/players/mike-mcguirl-1.html","Mike McGuirl","        Guard  ","6-2, 195lb (188cm, 88kg) ","   Ellington, CT","   East Catholic High School","Kansas State"
7,"C.J. Seaforth","PG","Hamden, CTHamden High School","5'11''",NA,60,"Iona","cj-seaforth","https://www.sports-reference.com/cbb/players/cj-seaforth-1.html","https://www.sports-reference.com/cbb/players/cj-seaforth-1.html","C.J. Seaforth","        Guard  ","6-1, 155lb (185cm, 70kg) ","  High School: Hamden High School","  School: Iona","Iona"
1,"Trevon Duval","PG","Wilmington, DEIMG Academy","6'3''",191,96,"Duke","trevon-duval","https://www.sports-reference.com/cbb/players/trevon-duval-1.html","https://www.sports-reference.com/cbb/players/trevon-duval-1.html","Trevon Duval","        Guard  ","6-3, 186lb (190cm, 84kg) ","   New Castle, DE","   IMG Academy","Duke"
2,"Myles Cale","SG","Middletown, DEAppoquinimink High School","6'4''",195,84,"Seton Hall","myles-cale","https://www.sports-reference.com/cbb/players/myles-cale-1.html","https://www.sports-reference.com/cbb/players/myles-cale-1.html","Myles Cale","        Guard  ","6-6, 210lb (198cm, 95kg) ","   Middletown, DE","   Appoquinimink High School","Seton Hall"
1,"Kevin Knox","SF","Tampa, FLTampa Catholic High School","6'9''",206,95,"Kentucky","kevin-knox","https://www.sports-reference.com/cbb/players/kevin-knox-1.html","https://www.sports-reference.com/cbb/players/kevin-knox-1.html","Kevin Knox","        Forward  ","6-9, 215lb (206cm, 97kg) ","   Tampa, FL","   Tampa Catholic High School","Kentucky"
2,"Chaundee Brown","SG","Orlando, FLFirst Academy","6'5''",208,89,"Wake Forest","chaundee-brown","https://www.sports-reference.com/cbb/players/chaundee-brown-1.html","https://www.sports-reference.com/cbb/players/chaundee-brown-1.html","Chaundee Brown","        Guard  ","6-5, 215lb (196cm, 97kg) ","   Orlando, FL","   Dr. Phillips High School","Wake Forest"
4,"Mayan Kiir","PF","Bradenton, FLVictory Rock Prep","6'9''",215,83,"LSU","mayan-kiir","https://www.sports-reference.com/cbb/players/mayan-kiir-1.html","https://www.sports-reference.com/cbb/players/mayan-kiir-1.html","Mayan Kiir","        Forward  ","6-9, 201lb (206cm, 91kg) ","   Bradenton, FL","   Victory Rock Prep","Schools: LSU and South Florida"
5,"Raiquan Gray","PF","Fort Lauderdale, FLDillard High School","6'8''",259,82,"Florida State","raiquan-gray","https://www.sports-reference.com/cbb/players/raiquan-gray-1.html","https://www.sports-reference.com/cbb/players/raiquan-gray-1.html","Raiquan Gray","        Forward  ","6-8, 260lb (203cm, 117kg) ","   Fort Lauderdale, FL","   Dillard HS","Florida State"
7,"Victor Uyaelunmo","C","Miami, FLCalvary Christian Academy","6'11''",210,82,"USC","victor-uyaelunmo","https://www.sports-reference.com/cbb/players/victor-uyaelunmo-1.html","https://www.sports-reference.com/cbb/players/victor-uyaelunmo-1.html","Victor Uyaelunmo","        Forward  ","6-11, 220lb (211cm, 99kg) ","   Miami, FL","   Calvary Christian High School","USC"
8,"Malik William","PF","Orlando, FLThe First Academy","6'7''",200,82,"Clemson","malik-william","https://www.sports-reference.com/cbb/players/malik-william-1.html","https://www.sports-reference.com/cbb/players/malik-william-1.html","Malik William","        Forward  ","6-8, 226lb (203cm, 102kg) ","   Orlando, FL","   The First Academy","Clemson"
11,"Tyler Polley","SF","Weston, FLThe Sagemont School","6'8''",185,81,"UConn","tyler-polley","https://www.sports-reference.com/cbb/players/tyler-polley-1.html","https://www.sports-reference.com/cbb/players/tyler-polley-1.html","Tyler Polley","        Forward  ","6-8, 200lb (203cm, 90kg) ","   Miramar, FL","   Sagemont School","UConn"
13,"Wyatt Wilkes","PF","Winter Park, FLWinter Park High School","6'7''",190,80,"Florida State","wyatt-wilkes","https://www.sports-reference.com/cbb/players/wyatt-wilkes-1.html","https://www.sports-reference.com/cbb/players/wyatt-wilkes-1.html","Wyatt Wilkes","        Forward  ","6-8, 220lb (203cm, 99kg) ","   Orlando, FL","   Winter Park High School","Florida State"
14,"Sean Mobley","PF","Melbourne, FLMontverde Academy","6'9''",225,80,"VCU","sean-mobley","https://www.sports-reference.com/cbb/players/sean-mobley-1.html","https://www.sports-reference.com/cbb/players/sean-mobley-1.html","Sean Mobley","        Forward  ","6-8, 225lb (203cm, 102kg) ","   Cocoa Beach, FL","   Montverde Academy","VCU"
17,"Anthony Polite","SG","Boca Raton, FLSaint Andrews School","6'6''",200,80,"Florida State","anthony-polite","https://www.sports-reference.com/cbb/players/anthony-polite-1.html","https://www.sports-reference.com/cbb/players/anthony-polite-1.html","Anthony Polite","        Guard  ","6-6, 215lb (198cm, 97kg) ","   Lugano, Switzerland","   Saint Andrew's School","Florida State"
19,"Darius Banks","SG","Saint Petersburg, FLSaint Petersburg High School","6'4''",195,79,"James Madison","darius-banks","https://www.sports-reference.com/cbb/players/darius-banks-1.html","https://www.sports-reference.com/cbb/players/darius-banks-1.html","Darius Banks","        Guard  ","6-5, 220lb (196cm, 99kg) ","   Saint Petersburg, FL","   St. Petersburg High School","James Madison"
20,"A.J. Caldwell","PG","Sarasota, FLRiverview High School","6'3''",NA,75,"South Alabama","aj-caldwell","https://www.sports-reference.com/cbb/players/aj-caldwell-1.html","https://www.sports-reference.com/cbb/players/aj-caldwell-1.html","AJ Caldwell","        Guard  ","6-4, 190lb (193cm, 86kg) ","   Sarasota, FL","   Riverview High School","South Alabama"
21,"David Nickelberry","SF","Orlando, FLWindermere Prep","6'7''",202,75,"Memphis","david-nickelberry","https://www.sports-reference.com/cbb/players/david-nickelberry-1.html","https://www.sports-reference.com/cbb/players/david-nickelberry-1.html","David Nickelberry","        Guard  ","6-8, 210lb (203cm, 95kg) ","   Orlando, FL","   Windermere Preparatory School","Memphis"
26,"Brion Whitley","SG","Sarasota, FLRiverview High School","6'5''",185,74,"Murray State","brion-whitley","https://www.sports-reference.com/cbb/players/brion-whitley-1.html","https://www.sports-reference.com/cbb/players/brion-whitley-1.html","Brion Whitley","        Guard  ","6-4, 200lb (193cm, 90kg) ","   Sarasota, FL","   Sarasota Christian High School","Murray State"
27,"Tomas Verbinskis","SF","Weston, FLThe Sagemont School","6'6''",180,72,"Richmond","tomas-verbinskis","https://www.sports-reference.com/cbb/players/tomas-verbinskis-1.html","https://www.sports-reference.com/cbb/players/tomas-verbinskis-1.html","Tomas Verbinskis","        Forward  ","6-7, 210lb (201cm, 95kg) ","   Klaipeda, Lithuania","   Sagemont School","Richmond"
33,"Joniya Gadson","PF","Fort Lauderdale, FLDillard High School","6'9''",NA,66,"Bowling Green","joniya-gadson","https://www.sports-reference.com/cbb/players/joniya-gadson-1.html","https://www.sports-reference.com/cbb/players/joniya-gadson-1.html","Joniya Gadson","        Center  ","6-10, 245lb (208cm, 111kg) ","   Miami Gardens, FL","   Dillard High School","Bowling Green State"
1,"Wendell Carter","PF","Atlanta, GAPace Academy","6'9''",255,96,"Duke","wendell-carter","https://www.sports-reference.com/cbb/players/wendell-carter-1.html","https://www.sports-reference.com/cbb/players/wendell-carterjr-1.html","Wendell Carter Jr.","        Forward  ","6-10, 259lb (208cm, 117kg) ","   Atlanta, GA","   Pace Academy","Duke"
2,"Collin Sexton","PG","Mableton, GAPebblebrook High School","6'3''",175,95,"Alabama","collin-sexton","https://www.sports-reference.com/cbb/players/collin-sexton-1.html","https://www.sports-reference.com/cbb/players/collin-sexton-1.html","Collin Sexton","        Guard  ","6-3, 190lb (190cm, 86kg) ","   Mableton, GA","   Pebblebrook High School","Alabama"
3,"M.J. Walker","SG","Jonesboro, GAJonesboro High School","6'5''",207,92,"Florida State","mj-walker","https://www.sports-reference.com/cbb/players/mj-walker-1.html","https://www.sports-reference.com/cbb/players/mj-walker-1.html","M.J. Walker","        Guard  ","6-5, 213lb (196cm, 96kg) ","   Jonesboro, GA","   Jonesboro High School","Florida State"
4,"Rayshaun Hammonds","SF","Norcross, GANorcross High School","6'8''",215,88,"Georgia","rayshaun-hammonds","https://www.sports-reference.com/cbb/players/rayshaun-hammonds-1.html","https://www.sports-reference.com/cbb/players/rayshaun-hammonds-1.html","Rayshaun Hammonds","        Forward  ","6-8, 235lb (203cm, 106kg) ","   Norcross, GA","   Norcross High School","Georgia"
5,"Jordan Tucker","SF","Marietta, GAWheeler High School","6'7''",207,88,"Duke","jordan-tucker","https://www.sports-reference.com/cbb/players/jordan-tucker-1.html","https://www.sports-reference.com/cbb/players/jordan-tucker-1.html","Jordan Tucker","        Forward  ","6-7, 210lb (201cm, 95kg) ","   White Plains, NY","   Joseph Wheeler High School","Schools: Duke and Butler"
6,"Chuma Okeke","PF","Atlanta, GAWestlake High School","6'8''",221,86,"Auburn","chuma-okeke","https://www.sports-reference.com/cbb/players/chuma-okeke-1.html","https://www.sports-reference.com/cbb/players/chuma-okeke-1.html","Chuma Okeke","        Forward  ","6-8, 230lb (203cm, 104kg) ","   Atlanta, GA","   Westlake High School","Auburn"
7,"Darius Perry","PG","Powder Springs, GAWheeler High School","6'2''",160,86,"Louisville","darius-perry","https://www.sports-reference.com/cbb/players/darius-perry-1.html","https://www.sports-reference.com/cbb/players/darius-perry-1.html","Darius Perry","        Guard  ","6-2, 195lb (188cm, 88kg) ","   Marietta, GA","   Joseph Wheeler High School","Louisville"
8,"Davion Mitchell","PG","Stockbridge, GALiberty County High School","6'2''",195,85,"Auburn","davion-mitchell","https://www.sports-reference.com/cbb/players/davion-mitchell-1.html","https://www.sports-reference.com/cbb/players/davion-mitchell-1.html","Davion Mitchell","        Guard  ","6-1, 200lb (185cm, 90kg) ","   Hinesville, GA","   Liberty County High School","Schools: Auburn and Baylor"
11,"Alex O'Connell","SG","Milton, GAMilton High School","6'6''",175,83,"Duke","alex-oconnell","https://www.sports-reference.com/cbb/players/alex-oconnell-1.html","https://www.sports-reference.com/cbb/players/alex-oconnell-1.html","Alex O'Connell","        Guard  ","6-6, 183lb (198cm, 83kg) ","   Roswell, GA","   Milton High School","Duke"
12,"Jordan Usher","SF","Canton, GAWheeler High School","6'7''",190,83,"USC","jordan-usher","https://www.sports-reference.com/cbb/players/jordan-usher-1.html","https://www.sports-reference.com/cbb/players/jordan-usher-1.html","Jordan Usher","        Guard  ","6-7, 225lb (201cm, 102kg) ","   Canton, GA","   Sequoyah High School","USC"
13,"Lance Thomas","PF","Norcross, GANorcross High School","6'9''",210,82,"Louisville","lance-thomas","https://www.sports-reference.com/cbb/players/lance-thomas-1.html","https://www.sports-reference.com/cbb/players/lance-thomas-3.html","Lance Thomas","        Forward  ","6-8, 224lb (203cm, 101kg) ","   Norcross, GA","   Norcross High School","Schools: Louisville and Memphis"
14,"Aljami Durham","SG","Lilburn, GABerkmar High School","6'4''",180,80,"Indiana","aljami-durham","https://www.sports-reference.com/cbb/players/aljami-durham-1.html","https://www.sports-reference.com/cbb/players/aljami-durham-1.html","Aljami Durham","        Guard  ","6-4, 181lb (193cm, 82kg) ","   Lilburn, GA","   Berkmar High School","Indiana"
15,"Elias Harden","SG","Atlanta, GAPebblebrook High School","6'5''",175,80,"Xavier","elias-harden","https://www.sports-reference.com/cbb/players/elias-harden-1.html","https://www.sports-reference.com/cbb/players/elias-harden-1.html","Elias Harden","        Guard  ","6-5, 187lb (196cm, 84kg) ","   East Point, GA","   Pebblebrook High School","Xavier"
16,"Victor Enoh","PF","Decatur, GAGreenforest Christian Academy","6'8''",235,79,"Memphis","victor-enoh","https://www.sports-reference.com/cbb/players/victor-enoh-1.html","https://www.sports-reference.com/cbb/players/victor-enoh-1.html","Victor Enoh","        Forward  ","6-7, 250lb (201cm, 113kg) ","   Decatur, GA","   Greenforest Christian High School","Memphis"
17,"Jordan Goldwire","PG","Norcross, GANorcross High School","6'1''",170,78,"Duke","jordan-goldwire","https://www.sports-reference.com/cbb/players/jordan-goldwire-1.html","https://www.sports-reference.com/cbb/players/jordan-goldwire-1.html","Jordan Goldwire","        Guard  ","6-2, 181lb (188cm, 82kg) ","   Norcross, GA","   Norcross High School","Duke"
18,"Jay Estime","SF","Lilburn, GABerkmar High School","6'5''",190,77,"UNC Wilmington","jay-estime","https://www.sports-reference.com/cbb/players/jay-estime-1.html","https://www.sports-reference.com/cbb/players/jay-estime-1.html","Jay Estime'","        Guard  ","6-5, 190lb (196cm, 86kg) ","   Lilburn, GA","   Berkmar High School","UNC Wilmington"
19,"Teshaun Hightower","PG","Suwanee, GAMount Zion Baptist Christian School","6'5''",170,77,"Georgia","teshaun-hightower","https://www.sports-reference.com/cbb/players/teshaun-hightower-1.html","https://www.sports-reference.com/cbb/players/teshaun-hightower-1.html","TeShaun Hightower","        Guard  ","6-5, 190lb (196cm, 86kg) ","   Lithonia, GA","   Mt. Zion","Georgia"
1,"Kolby Lee","C","Meridian, IDRocky Mountain High School","6'9''",260,81,"BYU","kolby-lee","https://www.sports-reference.com/cbb/players/kolby-lee-1.html","https://www.sports-reference.com/cbb/players/kolby-lee-1.html","Kolby Lee","        Forward  ","6-9, 240lb (206cm, 108kg) ","   Meridian, ID","   Rocky Mountain HS","BYU"
1,"Jeremiah Tilmon","C","East Saint Louis, ILEast St. Louis High School","6'10''",215,88,"Missouri","jeremiah-tilmon","https://www.sports-reference.com/cbb/players/jeremiah-tilmon-1.html","https://www.sports-reference.com/cbb/players/jeremiah-tilmon-1.html","Jeremiah Tilmon","        Forward  ","6-10, 252lb (208cm, 114kg) ","   East St. Louis, IL","   La Lumiere School","Missouri"
2,"Jordan Goodwin","SG","Belleville, ILAlthoff Catholic High School","6'4''",220,86,"Saint Louis","jordan-goodwin","https://www.sports-reference.com/cbb/players/jordan-goodwin-1.html","https://www.sports-reference.com/cbb/players/jordan-goodwin-1.html","Jordan Goodwin","        Guard  ","6-3, 210lb (190cm, 95kg) ","   Centreville, IL","   Althoff Catholic High School","Saint Louis"
3,"Nojel Eastern","SG","Evanston, ILEvanston Township High School","6'6''",207,83,"Purdue","nojel-eastern","https://www.sports-reference.com/cbb/players/nojel-eastern-1.html","https://www.sports-reference.com/cbb/players/nojel-eastern-1.html","Nojel Eastern","        Guard  ","6-6, 220lb (198cm, 99kg) ","   Evanston, IL","   Evanston Township High School","Purdue"
4,"Justin Smith","SF","Buffalo Grove, ILAdlai E. Stevenson High School","6'7''",215,83,"Indiana","justin-smith","https://www.sports-reference.com/cbb/players/justin-smith-1.html","https://www.sports-reference.com/cbb/players/justin-smith-3.html","Justin Smith","        Forward  ","6-7, 227lb (201cm, 102kg) ","   Buffalo Grove, IL","   Adlai E. Stevenson High School","Indiana"
5,"Da'Monte Williams","SG","Peoria, ILManual High School","6'3''",180,83,"Illinois","damonte-williams","https://www.sports-reference.com/cbb/players/damonte-williams-1.html","https://www.sports-reference.com/cbb/players/damonte-williams-1.html","Da'Monte Williams","        Guard  ","6-3, 190lb (190cm, 86kg) ","  High School: Manual High School","  School: Illinois","Illinois"
6,"Mark Smith","PG","NA, NAEdwardsville High School","6'4''",215,82,"Illinois","mark-smith","https://www.sports-reference.com/cbb/players/mark-smith-1.html","https://www.sports-reference.com/cbb/players/mark-smith-5.html","Mark Smith","        Guard  ","6-4, 220lb (193cm, 99kg) ","   Edwardsville, IL","   Edwardsville High School","Schools: Illinois and Missouri"
