"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"3096",NA,"__ Reddick",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0
"3097",NA,"__ Rolland",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0
"3098",NA,"Gary Trent Jr.",2,NA,NA,NA,25,0,0,0,0,0,0,0,0,0,50,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3099",NA,"Brock Bertram",2,NA,NA,NA,12.5,0,0,0,0,0,0,0,0,0,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3100",NA,"Tre Jones",2,NA,NA,NA,11.5,0,0,0,0,0,0,0,0,0,23,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3101",NA,"Cameron Kirksey",1,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3102",NA,"Gary Trent Jr.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3103",NA,"Tre Jones",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3104",NA,"Brock Bertram",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3105",NA,"Cameron Kirksey",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3106",12,"Zach Collins",2,1,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
