"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
6,"Marquese Chriss","PF","Elk Grove, CAPleasant Grove High School","6'8''",200,85,"Washington","marquese-chriss","https://www.sports-reference.com/cbb/players/marquese-chriss-1.html","https://www.sports-reference.com/cbb/players/marquese-chriss-1.html","Marquese Chriss","        Forward  ","6-9, 225lb (206cm, 102kg) ","   Sacramento, CA","   Pleasant Grove HS","Washington"
7,"Stephen Thompson Jr.","SG","Torrance, CABishop Montgomery High School","6'4''",165,85,"Oregon St","stephen-thompsonjr","https://www.sports-reference.com/cbb/players/stephen-thompsonjr-1.html","https://www.sports-reference.com/cbb/players/stephen-thompsonjr-1.html","Stephen Thompson Jr.","        Guard  ","6-4, 190lb (193cm, 86kg) ","   Los Angeles, CA","   Bishop Montgomery HS","Oregon State"
8,"Jeremy Hemsley","SG","La Verne, CADamien High School","6'4''",190,85,"San Diego St","jeremy-hemsley","https://www.sports-reference.com/cbb/players/jeremy-hemsley-1.html","https://www.sports-reference.com/cbb/players/jeremy-hemsley-1.html","Jeremy Hemsley","        Guard  ","6-3, 195lb (190cm, 88kg) ","   Rancho Cucamonga, CA","   Damien HS","San Diego State"
9,"Bennie Boatwright","PF","Mission Hills, CAVillage Christian High School","6'9''",220,82,"USC","bennie-boatwright","https://www.sports-reference.com/cbb/players/bennie-boatwright-1.html","https://www.sports-reference.com/cbb/players/bennie-boatwright-1.html","Bennie Boatwright","        Forward  ","6-10, 235lb (208cm, 106kg) ","   Mission Hills, CA","   Village Christian HS","USC"
10,"Aaron Holiday","PG","North Hollywood, CACampbell Hall High School","6'0''",175,82,"UCLA","aaron-holiday","https://www.sports-reference.com/cbb/players/aaron-holiday-1.html","https://www.sports-reference.com/cbb/players/aaron-holiday-1.html","Aaron Holiday","        Guard  ","6-1, 185lb (185cm, 83kg) ","   Chatsworth, CA","   Campbell Hall HS","UCLA"
11,"Kendall Small","PG","Anaheim, CAMayfair High School","6'0''",170,82,"Oregon","kendall-small","https://www.sports-reference.com/cbb/players/kendall-small-1.html","https://www.sports-reference.com/cbb/players/kendall-small-1.html","Kendall Small","        Guard  ","6-0, 182lb (183cm, 82kg) ","   Lakewood, CA","   Mayfair HS","Schools: Oregon and Pacific"
12,"Chance Comanche","C","Beverly Hills, CABeverly Hills High School","6'10''",205,81,"Arizona","chance-comanche","https://www.sports-reference.com/cbb/players/chance-comanche-1.html","https://www.sports-reference.com/cbb/players/chance-comanche-1.html","Chance Comanche","        Center  ","6-10, 205lb (208cm, 92kg) ","   Beverly Hills, CA","   Beverly Hills HS","Arizona"
14,"Paris Austin","PG","Oakland, CABishop O'Dowd High School","5'11''",155,80,"Boise State","paris-austin","https://www.sports-reference.com/cbb/players/paris-austin-1.html","https://www.sports-reference.com/cbb/players/paris-austin-1.html","Paris Austin","        Guard  ","6-0, 185lb (183cm, 83kg) ","   Oakland, CA","   Bishop O'Dowd HS","Schools: Boise State and California"
15,"Sedrick Barefield","PG","Corona, CACentennial High School","6'2''",185,79,"SMU","sedrick-barefield","https://www.sports-reference.com/cbb/players/sedrick-barefield-1.html","https://www.sports-reference.com/cbb/players/sedrick-barefield-1.html","Sedrick Barefield","        Guard  ","6-2, 190lb (188cm, 86kg) ","   Corona, CA","   Centennial HS","Schools: SMU and Utah"
17,"Lindsey Drew","PG","Los Angeles, CAFairfax High School","6'4''",175,75,"Nevada","lindsey-drew","https://www.sports-reference.com/cbb/players/lindsey-drew-1.html","https://www.sports-reference.com/cbb/players/lindsey-drew-1.html","Lindsey Drew","        Guard  ","6-4, 180lb (193cm, 81kg) ","   Encino, CA","   Fairfax HS","Nevada"
