"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
3,"Ike Anigbogu","C","Corona, CACentennial High School","6'9''",220,84,"UCLA","ike-anigbogu","https://www.sports-reference.com/cbb/players/ike-anigbogu-1.html","https://www.sports-reference.com/cbb/players/ike-anigbogu-1.html","Ike Anigbogu","        Forward  ","6-10, 250lb (208cm, 113kg) ","   Corona, CA","   Centennial High School","UCLA"
4,"Vance Jackson","SF","Napa, CAProlific Prep","6'8''",215,82,"UConn","vance-jackson","https://www.sports-reference.com/cbb/players/vance-jackson-1.html","https://www.sports-reference.com/cbb/players/vance-jackson-1.html","Vance Jackson","        Forward  ","6-9, 230lb (206cm, 104kg) ","   Pasadena, CA","   St. John Bosco High School","Schools: UConn and New Mexico"
6,"Ryan Murphy","PG","Calabasas, CACalabasas High School","6'2''",185,69,"Charlotte","ryan-murphy","https://www.sports-reference.com/cbb/players/ryan-murphy-1.html","https://www.sports-reference.com/cbb/players/ryan-murphy-3.html","Ryan Murphy","        Guard  ","6-2, 192lb (188cm, 87kg) ","   Calabasas, CA","   Woodstock Academy","Charlotte"
7,"Jayce Johnson","C","Dana Point, CASanta Monica High School","6'11''",250,81,"Utah","jayce-johnson","https://www.sports-reference.com/cbb/players/jayce-johnson-1.html","https://www.sports-reference.com/cbb/players/jayce-johnson-1.html","Jayce Johnson","        Center-Forward  ","7-0, 235lb (213cm, 106kg) ","   Mission Viejo, CA","   Findlay College Prep","Utah"
8,"Bryce Peters","SG","Long Beach, CADamien High School","6'4''",190,80,"Colorado","bryce-peters","https://www.sports-reference.com/cbb/players/bryce-peters-1.html","https://www.sports-reference.com/cbb/players/bryce-peters-2.html","Bryce Peters","        Guard  ","6-4, 195lb (193cm, 88kg) ","   La Puente, CA","   Damien High School","Colorado"
9,"De'Anthony Melton","SG","Encino, CACrespi Carmelite High School","6'4''",180,80,"USC","deanthony-melton","https://www.sports-reference.com/cbb/players/deanthony-melton-1.html","https://www.sports-reference.com/cbb/players/deanthony-melton-1.html","De'Anthony Melton","        Guard  ","6-4, 190lb (193cm, 86kg) ","   North Hollywood, CA","   Crespi Carmelite HIgh School","USC"
11,"Milan Acquaah","PG","Los Angeles, CACathedral High School","6'2''",195,79,"Washington St","milan-acquaah","https://www.sports-reference.com/cbb/players/milan-acquaah-1.html","https://www.sports-reference.com/cbb/players/milan-acquaah-1.html","Milan Acquaah","        Guard  ","6-3, 195lb (190cm, 88kg) ","   Bakersfield, CA","   Cathedral High School","Schools: Washington State and California Baptist"
14,"Trevor Stanback","C","West Hills, CAMaranatha High School","6'9''",215,77,"Stanford","trevor-stanback","https://www.sports-reference.com/cbb/players/trevor-stanback-1.html","https://www.sports-reference.com/cbb/players/trevor-stanback-1.html","Trevor Stanback","        Forward  ","6-11, 225lb (211cm, 102kg) ","   Pasadena, CA","   Marantha High School","Stanford"
15,"Jordan Griffin","SG","Corona, CACentennial High School","6'3''",170,77,"Long Beach St","jordan-griffin","https://www.sports-reference.com/cbb/players/jordan-griffin-1.html","https://www.sports-reference.com/cbb/players/jordan-griffin-2.html","Jordan Griffin","        Guard  ","6-3, 165lb (190cm, 74kg) ","   Corona, CA","   Centennial High School","Long Beach State"
16,"Ben Kone'","C","San Jose, CAArchbishop Mitty High School","6'9''",240,77,"Oregon St","ben-kone","https://www.sports-reference.com/cbb/players/ben-kone-1.html","https://www.sports-reference.com/cbb/players/ben-kone-1.html","Ben Kone","        Forward  ","6-8, 235lb (203cm, 106kg) ","   San Jose, CA","   Archbishop Mitty High School","Oregon State"
17,"Colin Slater","PG","Fresno, CAClovis East High School","6'0''",170,75,"Tulane","colin-slater","https://www.sports-reference.com/cbb/players/colin-slater-1.html","https://www.sports-reference.com/cbb/players/colin-slater-1.html","Colin Slater","        Guard  ","6-1, 190lb (185cm, 86kg) ","   New Orleans, LA","   Clovis East High School","Schools: Tulane and Long Beach State"
18,"Jordan Ratinho","SG","Concord, CADe La Salle High School","6'5''",175,75,"San Francisco","jordan-ratinho","https://www.sports-reference.com/cbb/players/jordan-ratinho-1.html","https://www.sports-reference.com/cbb/players/jordan-ratinho-1.html","Jordan Ratinho","        Guard  ","6-5, 210lb (196cm, 95kg) ","   Livermore, CA","   De La Salle High School","San Francisco"
19,"Kobe Paras","SF","Los Angeles, CAMiddlebrooks Academy","6'5''",190,74,"Creighton","kobe-paras","https://www.sports-reference.com/cbb/players/kobe-paras-1.html","https://www.sports-reference.com/cbb/players/kobe-paras-1.html","Kobe Paras","        Guard  ","6-6, 200lb (198cm, 90kg) ","  High School: Cathedral High School","  School: Creighton","Creighton"
22,"Daron Henson","PF","Los Angeles, CACathedral High School","6'7''",190,73,"Utah State","daron-henson","https://www.sports-reference.com/cbb/players/daron-henson-1.html","https://www.sports-reference.com/cbb/players/daron-henson-1.html","Daron Henson","        Forward  ","6-7, 210lb (201cm, 95kg) ","   Pasadena, CA","   Cathedral High School","Utah State"
23,"Devearl Ramsey","PG","Chatsworth, CASierra Canyon High School","5'10''",170,73,"Nevada","devearl-ramsey","https://www.sports-reference.com/cbb/players/devearl-ramsey-1.html","https://www.sports-reference.com/cbb/players/devearl-ramsey-1.html","Devearl Ramsey","        Guard  ","6-0, 185lb (183cm, 83kg) ","   Los Angeles, CA","   Sierra Canyon School","Schools: Nevada and UCSB"
26,"Vittorio Reynoso-Avila","SF","La Mirada, CALa Mirada High School","6'5''",185,71,"Princeton","vittorio-reynoso-avila","https://www.sports-reference.com/cbb/players/vittorio-reynoso-avila-1.html","https://www.sports-reference.com/cbb/players/vittorio-reynoso-avila-1.html","Vittorio Reynoso-Avila","        Forward  ","6-5, 200lb (196cm, 90kg) ","   La Mirada, CA","   La Mirada High School","Princeton"
28,"Tim Harrison","PF","El Cajon, CAFrancis Parker High School","6'7''",170,70,"Rice","tim-harrison","https://www.sports-reference.com/cbb/players/tim-harrison-1.html","https://www.sports-reference.com/cbb/players/tim-harrison-1.html","Tim Harrison","        Forward  ","6-8, 220lb (203cm, 99kg) ","   San Diego, CA","   Francis Parker High School","Rice"
29,"Henry Welsh","C","Los Angeles, CALoyola High School","6'9''",230,70,"Harvard","henry-welsh","https://www.sports-reference.com/cbb/players/henry-welsh-1.html","https://www.sports-reference.com/cbb/players/henry-welsh-1.html","Henry Welsh","        Forward  ","6-10, 250lb (208cm, 113kg) ","   Redondo Beach, CA","   Loyola High School","Harvard"
33,"Javonntie Jackson","SF","Compton, CACompton High School","6'6''",180,70,"Long Beach St","javonntie-jackson","https://www.sports-reference.com/cbb/players/javonntie-jackson-1.html","https://www.sports-reference.com/cbb/players/javonntie-jackson-1.html","Javonntie Jackson","        Forward  ","6-6, 190lb (198cm, 86kg) ","   Compton, CA","   Compton High School","Long Beach State"
38,"Oscar Frayer","SF","Hayward, CAMoreau Catholic High School","6'6''",200,69,"Grand Canyon","oscar-frayer","https://www.sports-reference.com/cbb/players/oscar-frayer-1.html","https://www.sports-reference.com/cbb/players/oscar-frayer-1.html","Oscar Frayer","        Guard-Forward  ","6-7, 190lb (201cm, 86kg) ","   Oakland, CA","   Moreau Catholic High School","Grand Canyon"
39,"Ian Carter","PF","La Mirada, CALa Mirada High School","6'6''",175,69,"Dartmouth","ian-carter","https://www.sports-reference.com/cbb/players/ian-carter-1.html","https://www.sports-reference.com/cbb/players/ian-carter-2.html","Ian Carter","        Forward  ","6-7, 220lb (201cm, 99kg) ","   Los Angeles, CA","   Junipero Forest High School","Dartmouth"
40,"Solomon Young","PF","Sacramento, CASacramento High School","6'6''",215,69,"Iowa State","solomon-young","https://www.sports-reference.com/cbb/players/solomon-young-1.html","https://www.sports-reference.com/cbb/players/solomon-young-1.html","Solomon Young","        Forward  ","6-8, 243lb (203cm, 110kg) ","   Sacramento, CA","   Sacramento High School","Iowa State"
41,"Johnny McWilliams","SG","San Marcos, CASan Marcos High School","6'4''",175,69,"Fresno St","johnny-mcwilliams","https://www.sports-reference.com/cbb/players/johnny-mcwilliams-1.html","https://www.sports-reference.com/cbb/players/johnny-mcwilliams-1.html","Johnny McWilliams","        Guard  ","6-6, 200lb (198cm, 90kg) ","   San Marcos, CA","   San Marcos High School","Fresno State"
42,"Eric Monroe","PG","San Diego, CASaint Augustine High School","6'2''",170,69,"Yale","eric-monroe","https://www.sports-reference.com/cbb/players/eric-monroe-1.html","https://www.sports-reference.com/cbb/players/eric-monroe-1.html","Eric Monroe","        Guard  ","6-2, 175lb (188cm, 79kg) ","   San Diego, CA","   St. Augustine High School","Yale"
43,"Donald Gipson","SF","Los Angeles, CAFairfax High School","6'4''",180,69,"Loyola Mary","donald-gipson","https://www.sports-reference.com/cbb/players/donald-gipson-1.html","https://www.sports-reference.com/cbb/players/donald-gipson-1.html","Donald Gipson","        Guard  ","6-3, 213lb (190cm, 96kg) ","   Los Angeles, CA","   Fairfax High School","Loyola Marymount"
44,"Sayeed Pridgett","SG","Oakland, CAEl Cerrito High School","6'4''",180,69,"Montana","sayeed-pridgett","https://www.sports-reference.com/cbb/players/sayeed-pridgett-1.html","https://www.sports-reference.com/cbb/players/sayeed-pridgett-1.html","Sayeed Pridgett","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Oakland, CA","   El Carrito High School","Montana"
45,"Lucas Siewert","C","Los Angeles, CACathedral High School","6'9''",220,69,"Colorado","lucas-siewert","https://www.sports-reference.com/cbb/players/lucas-siewert-1.html","https://www.sports-reference.com/cbb/players/lucas-siewert-1.html","Lucas Siewert","        Forward  ","6-10, 230lb (208cm, 104kg) ","   Santa Catarina, Brazil","   Cathedral High School","Colorado"
47,"Donovan Mitchell","PF","Fresno, CABuchanan High School","6'7''",185,68,"Wake Forest","donovan-mitchell","https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html","https://www.sports-reference.com/cbb/players/donovan-mitchell-2.html","Donovan Mitchell","        Forward  ","6-8, 215lb (203cm, 97kg) ","   Clovis, CA","   Buchanan High School","Schools: Wake Forest and Santa Clara"
48,"Bryson Williams","PF","Fresno, CARoosevelt High School","6'6''",180,68,"Fresno St","bryson-williams","https://www.sports-reference.com/cbb/players/bryson-williams-1.html","https://www.sports-reference.com/cbb/players/bryson-williams-1.html","Bryson Williams","        Forward  ","6-8, 225lb (203cm, 102kg) ","   Fresno, CA","   Theodore Roosevelt High School","Schools: Fresno State and UTEP"
49,"Morgan Means","SG","Torrance, CARedondo Union High School","6'2''",165,68,"Seattle","morgan-means","https://www.sports-reference.com/cbb/players/morgan-means-1.html","https://www.sports-reference.com/cbb/players/morgan-means-1.html","Morgan Means","        Guard  ","6-3, 175lb (190cm, 79kg) ","   Compton, CA","   Redondo Union","Seattle"
1,"De'Ron Davis","PF","Aurora, COOverland High School","6'8''",230,85,"Indiana","deron-davis","https://www.sports-reference.com/cbb/players/deron-davis-1.html","https://www.sports-reference.com/cbb/players/deron-davis-1.html","De'Ron Davis","        Forward  ","6-10, 255lb (208cm, 115kg) ","   Park Hill, CO","   Overland High School","Indiana"
2,"Alpha Diallo","SF","Denver, COBrewster Academy","6'7''",195,82,"Providence","alpha-diallo","https://www.sports-reference.com/cbb/players/alpha-diallo-1.html","https://www.sports-reference.com/cbb/players/alpha-diallo-1.html","Alpha Diallo","        Guard  ","6-7, 213lb (201cm, 96kg) ","   New York, NY","   Brewster Academy (NH)","Providence"
3,"Justin Bassey","SF","Aurora, COColorado Academy","6'5''",210,79,"Harvard","justin-bassey","https://www.sports-reference.com/cbb/players/justin-bassey-1.html","https://www.sports-reference.com/cbb/players/justin-bassey-1.html","Justin Bassey","        Guard  ","6-5, 215lb (196cm, 97kg) ","   Denver, CO","   Colorado Academy","Harvard"
7,"Austin Mueller","PF","Highlands Ranch, COThunderRidge High School","6'6''",210,69,"Wyoming","austin-mueller","https://www.sports-reference.com/cbb/players/austin-mueller-1.html","https://www.sports-reference.com/cbb/players/austin-mueller-1.html","Austin Mueller","        Forward  ","6-6, 210lb (198cm, 95kg) ","   Highlands Ranch, CO","   ThunderRidge High School","Wyoming"
8,"Justinian Jessup","SF","Longmont, COLongmont High School","6'5''",180,68,"Boise State","justinian-jessup","https://www.sports-reference.com/cbb/players/justinian-jessup-1.html","https://www.sports-reference.com/cbb/players/justinian-jessup-1.html","Justinian Jessup","        Guard  ","6-6, 202lb (198cm, 91kg) ","   Longmont, CO","   Longmont High School","Boise State"
10,"Dallas Walton","PF","Arvada, CORalston Valley High School","6'7''",185,65,"Colorado","dallas-walton","https://www.sports-reference.com/cbb/players/dallas-walton-1.html","https://www.sports-reference.com/cbb/players/dallas-walton-1.html","Dallas Walton","        Forward  ","7-0, 235lb (213cm, 106kg) ","   Arvada, CO","   Ralston Valley High School","Colorado"
1,"Mustapha Heron","SG","West Haven, CTSacred Heart High School","6'4''",210,92,"Auburn","mustapha-heron","https://www.sports-reference.com/cbb/players/mustapha-heron-1.html","https://www.sports-reference.com/cbb/players/mustapha-heron-1.html","Mustapha Heron","        Guard  ","6-5, 220lb (196cm, 99kg) ","   Waterbury, CT","   Sacred Heart High School","Schools: Auburn and St. John's (NY)"
2,"Tyrique Jones","PF","Bloomfield, CTVermont Academy","6'7''",220,82,"Xavier","tyrique-jones","https://www.sports-reference.com/cbb/players/tyrique-jones-1.html","https://www.sports-reference.com/cbb/players/tyrique-jones-1.html","Tyrique Jones","        Forward  ","6-9, 235lb (206cm, 106kg) ","   Bloomfield, CT","   Vermont Academy","Xavier"
4,"Tyrn Flowers","SF","Waterbury, CTSacred Heart High School","6'8''",205,75,"UMass","tyrn-flowers","https://www.sports-reference.com/cbb/players/tyrn-flowers-1.html","https://www.sports-reference.com/cbb/players/tyrn-flowers-1.html","Tyrn Flowers","        Forward  ","6-9, 200lb (206cm, 90kg) ","   Waterbury, CT","   Sacred Heart High School","Schools: UMass and LIU-Brooklyn"
5,"Mike Sagay","SF","Bloomfield, CTSt. Thomas More School","6'6''",NA,70,"Boston College","mike-sagay","https://www.sports-reference.com/cbb/players/mike-sagay-1.html","https://www.sports-reference.com/cbb/players/mike-sagay-1.html","Mike Sagay","        Forward  ","6-7, 200lb (201cm, 90kg) ","   Bloomfield, CT","   St. Thomas More Prep","Boston College"
6,"E.J. Crawford","SF","Simsbury, CTSt. Thomas More School","6'4''",NA,65,"Iona","ej-crawford","https://www.sports-reference.com/cbb/players/ej-crawford-1.html","https://www.sports-reference.com/cbb/players/ej-crawford-1.html","E.J. Crawford","        Forward-Guard  ","6-6, 210lb (198cm, 95kg) ","   Hartford, CT","   St. Thomas More Prep","Iona"
7,"Sam Ibiezugbe","C","West Simsbury, CTThe Master's School","6'11''",245,64,"Monmouth","sam-ibiezugbe","https://www.sports-reference.com/cbb/players/sam-ibiezugbe-1.html","https://www.sports-reference.com/cbb/players/sam-ibiezugbe-1.html","Sam Ibiezugbe","        Center-Forward  ","6-11, 245lb (211cm, 111kg) ","   Simsbury, CT","   The Masters School","Monmouth"
1,"Jonathan Isaac","SF","Naples, FLIMG Academy","6'10''",185,94,"Florida St","jonathan-isaac","https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html","https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html","Jonathan Isaac","        Forward  ","6-10, 210lb (208cm, 95kg) ","   Naples, FL","   IMG Academy","Florida State"
2,"Tony Bradley","C","Bartow, FLBartow High School","6'10''",235,93,"UNC","tony-bradley","https://www.sports-reference.com/cbb/players/tony-bradley-1.html","https://www.sports-reference.com/cbb/players/tony-bradley-1.html","Tony Bradley","        Forward  ","6-10, 240lb (208cm, 108kg) ","   Bartow, FL","   Barlow High School","UNC"
3,"Udoka Azubuike","C","Jacksonville, FLPotters House Christian","6'11''",270,92,"Kansas","udoka-azubuike","https://www.sports-reference.com/cbb/players/udoka-azubuike-1.html","https://www.sports-reference.com/cbb/players/udoka-azubuike-1.html","Udoka Azubuike","        Center  ","7-0, 270lb (213cm, 122kg) ","   Delta, Nigeria","   Potter's House Christian Acadekmy","Kansas"
4,"Dewan Huell","PF","Miami, FLMiami Norland High School","6'9''",230,90,"Miami","dewan-huell","https://www.sports-reference.com/cbb/players/dewan-huell-1.html","https://www.sports-reference.com/cbb/players/dewan-huell-1.html","Dewan Huell","        Forward  ","6-11, 235lb (211cm, 106kg) ","   Miami, FL","   Miami Norland High School","Miami (FL)"
5,"Trent Forrest","SG","Chipley, FLChipley High School","6'4''",185,86,"Florida St","trent-forrest","https://www.sports-reference.com/cbb/players/trent-forrest-1.html","https://www.sports-reference.com/cbb/players/trent-forrest-1.html","Trent Forrest","        Guard  ","6-4, 210lb (193cm, 95kg) ","   Chipley, FL","   Chipley High School","Florida State"
6,"Juwan Durham","PF","Tampa, FLTampa Preparatory School","6'9''",200,85,"UConn","juwan-durham","https://www.sports-reference.com/cbb/players/juwan-durham-1.html","https://www.sports-reference.com/cbb/players/juwan-durham-1.html","Juwan Durham","        Forward  ","6-11, 223lb (211cm, 101kg) ","   Tampa, FL","   Tampa Preparatory School","Schools: UConn and Notre Dame"
8,"Troy Baxter","SF","Gainesville, FLOldsmar Christian High School","6'8''",195,82,"UNLV","troy-baxter","https://www.sports-reference.com/cbb/players/troy-baxter-1.html","https://www.sports-reference.com/cbb/players/troy-baxter-1.html","Troy Baxter","        Forward  ","6-8, 200lb (203cm, 90kg) ","   Tallahassee, FL","   Oldsmar Christian Academy","Schools: UNLV and Florida Gulf Coast"
9,"Davonta Jordan","PG","Montverde, FLMontverde Academy","6'1''",165,79,"Buffalo","davonta-jordan","https://www.sports-reference.com/cbb/players/davonta-jordan-1.html","https://www.sports-reference.com/cbb/players/davonta-jordan-1.html","Davonta Jordan","        Guard  ","6-2, 187lb (188cm, 84kg) ","   Cocoa, FL","   Florida Air Academy","Buffalo"
10,"Gorjok Gak","C","Bradenton, FLVictory Rock Prep","6'11''",215,79,"Florida","gorjok-gak","https://www.sports-reference.com/cbb/players/gorjok-gak-1.html","https://www.sports-reference.com/cbb/players/gorjok-gak-1.html","Gorjok Gak","        Center-Forward  ","6-11, 254lb (211cm, 115kg) ","   Sydney, Australia","   Victory Rock Prep","Florida"
11,"Eric Hester","PG","Oldsmar, FLOldsmar Christian High School","6'3''",175,79,"Florida","eric-hester","https://www.sports-reference.com/cbb/players/eric-hester-1.html","https://www.sports-reference.com/cbb/players/eric-hester-1.html","Eric Hester","        Guard  ","6-3, 167lb (190cm, 75kg) ","   Clearwater, FL","   Oldsmar Christian Academy","Schools: Florida and Akron"
12,"John Mooney","PF","Altamonte Springs, FLLake Brantley High School","6'9''",240,79,"Notre Dame","john-mooney","https://www.sports-reference.com/cbb/players/john-mooney-1.html","https://www.sports-reference.com/cbb/players/john-mooney-1.html","John Mooney","        Forward  ","6-9, 242lb (206cm, 109kg) ","   Orlando, FL","   Lake Brantley High School","Notre Dame"
13,"Issa Thiam","SF","Jacksonville, FLArlington Country Day School","6'8''",180,78,"Rutgers","issa-thiam","https://www.sports-reference.com/cbb/players/issa-thiam-1.html","https://www.sports-reference.com/cbb/players/issa-thiam-1.html","Issa Thiam","        Guard-Forward  ","6-10, 190lb (208cm, 86kg) ","   Dakar, Senegal","   Canarias Basketball Academy","Rutgers"
15,"Koch Bar","C","Jacksonville, FLArlington Country Day School","6'9''",220,76,"Bradley","koch-bar","https://www.sports-reference.com/cbb/players/koch-bar-1.html","https://www.sports-reference.com/cbb/players/koch-bar-1.html","Koch Bar","        Center  ","6-11, 225lb (211cm, 102kg) ","   Abyei, South Sudan","   Arlington Country Day School","Bradley"
17,"Tre Clark","SG","Palmetto, FLPalmetto Ridge High School","6'5''",185,74,"Furman","tre-clark","https://www.sports-reference.com/cbb/players/tre-clark-1.html","https://www.sports-reference.com/cbb/players/tre-clark-1.html","Tre Clark","        Guard  ","6-5, 194lb (196cm, 87kg) ","   Palmetto, FL","   Palmetto Ridge High School","Furman"
18,"Dontay Bassett","PF","Oldsmar, FLOldsmar Christian High School","6'8''",205,72,"Florida","dontay-bassett","https://www.sports-reference.com/cbb/players/dontay-bassett-1.html","https://www.sports-reference.com/cbb/players/dontay-bassett-1.html","Dontay Bassett","        Forward  ","6-9, 237lb (206cm, 107kg) ","   Oakland, CA","   Oldsmar Christian Academy","Florida"
1,"Kobi Simmons","PG","Alpharetta, GASt. Francis High School","6'6''",185,92,"Arizona","kobi-simmons","https://www.sports-reference.com/cbb/players/kobi-simmons-1.html","https://www.sports-reference.com/cbb/players/kobi-simmons-1.html","Kobi Simmons","        Guard  ","6-5, 175lb (196cm, 79kg) ","   Atlanta, GA","   Saint Francis High School","Arizona"
2,"Alterique Gilbert","PG","Lithonia, GAMiller Grove High School","6'0''",170,89,"UConn","alterique-gilbert","https://www.sports-reference.com/cbb/players/alterique-gilbert-1.html","https://www.sports-reference.com/cbb/players/alterique-gilbert-1.html","Alterique Gilbert","        Guard  ","6-0, 180lb (183cm, 81kg) ","   Atlanta, GA","   Miller Grove High School","UConn"
3,"Brandon Robinson","SG","Douglasville, GADouglas County High School","6'5''",170,85,"UNC","brandon-robinson","https://www.sports-reference.com/cbb/players/brandon-robinson-1.html","https://www.sports-reference.com/cbb/players/brandon-robinson-2.html","Brandon Robinson","        Guard  ","6-4, 170lb (193cm, 77kg) ","   Douglasville, GA","   Douglas County High School","UNC"
4,"James Banks","C","Atlanta, GALa Lumiere School","6'11''",230,84,"Texas","james-banks","https://www.sports-reference.com/cbb/players/james-banks-1.html","https://www.sports-reference.com/cbb/players/james-banks-2.html","James Banks","        Center  ","6-10, 240lb (208cm, 108kg) ","   Decatur, GA","   La Lumiere School","Texas"
