"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
2,"Austin Wiley","C","Birmingham, ALSpain Park High School","6'9''",250,92,"Auburn","austin-wiley","https://www.sports-reference.com/cbb/players/austin-wiley-1.html","https://www.sports-reference.com/cbb/players/austin-wiley-1.html","Austin Wiley","        Center  ","6-11, 260lb (211cm, 117kg) ","   Hoover, AL","   Spain Pain High School","Auburn"
4,"E.J. Datcher","C","Vincent, ALVincent High School","6'8''",235,73,"Mississippi State","ej-datcher","https://www.sports-reference.com/cbb/players/ej-datcher-1.html","https://www.sports-reference.com/cbb/players/ej-datcher-1.html","E.J. Datcher","        Center  ","6-10, 255lb (208cm, 115kg) ","   Harpersville, AL","   Vincent High School","Mississippi State"
1,"Mitch Lightfoot","PF","Gilbert, AZGilbert Christian High School","6'8''",210,83,"Kansas","mitch-lightfoot","https://www.sports-reference.com/cbb/players/mitch-lightfoot-1.html","https://www.sports-reference.com/cbb/players/mitch-lightfoot-1.html","Mitch Lightfoot","        Forward  ","6-8, 225lb (203cm, 102kg) ","   Gilbert, AZ","   Ironwood Ridge High School","Kansas"
2,"Markus Howard","SG","Chandler, AZFindlay College Prep","6'0''",178,82,"Marquette","markus-howard","https://www.sports-reference.com/cbb/players/markus-howard-1.html","https://www.sports-reference.com/cbb/players/markus-howard-1.html","Markus Howard","        Guard  ","5-11, 175lb (180cm, 79kg) ","   Chandler, AZ","   Findlay College Prep","Marquette"
5,"Wyatt Lowell","C","Gilbert, AZWilliams Field High School","6'10''",205,73,"Utah Valley","wyatt-lowell","https://www.sports-reference.com/cbb/players/wyatt-lowell-1.html","https://www.sports-reference.com/cbb/players/wyatt-lowell-1.html","Wyatt Lowell","        Forward  ","6-10, 205lb (208cm, 92kg) ","   Gilbert, AZ","   Williams Field HS","Utah Valley"
7,"Klay Stall","PF","Chandler, AZBasha High School","6'9''",225,70,"Utah State","klay-stall","https://www.sports-reference.com/cbb/players/klay-stall-1.html","https://www.sports-reference.com/cbb/players/klay-stall-1.html","Klay Stall","        Center  ","6-10, 240lb (208cm, 108kg) ","   Chandler, AZ","   Basha High School","Utah State"
8,"Brock Gardner","SF","Chandler, AZTri-City Christian Academy","6'7''",210,70,"Liberty","brock-gardner","https://www.sports-reference.com/cbb/players/brock-gardner-1.html","https://www.sports-reference.com/cbb/players/brock-gardner-1.html","Brock Gardner","        Forward  ","6-7, 210lb (201cm, 95kg) ","   Chandler, AZ","   Tri-City Christian Academy","Liberty"
10,"Devin Kirby","PF","Chandler, AZBasha High School","6'9''",195,69,"Montana St","devin-kirby","https://www.sports-reference.com/cbb/players/devin-kirby-1.html","https://www.sports-reference.com/cbb/players/devin-kirby-1.html","Devin Kirby","        Forward-Center  ","6-11, 215lb (211cm, 97kg) ","   Chandler, AZ","   Basha High School","Montana State"
11,"Tim Fuller","PF","Gilbert, AZHighland High School","6'9''",210,63,"Weber State","tim-fuller","https://www.sports-reference.com/cbb/players/tim-fuller-1.html","https://www.sports-reference.com/cbb/players/tim-fuller-2.html","Tim Fuller","        Forward  ","6-9, 210lb (206cm, 95kg) ","   Gilbert, AZ","   Highland HS","Weber State"
16,"Tyrell Henderson","SG","Tempe, AZCorona Del Sol High School","6'3''",165,59,"Portland St","tyrell-henderson","https://www.sports-reference.com/cbb/players/tyrell-henderson-1.html","https://www.sports-reference.com/cbb/players/tyrell-henderson-1.html","Tyrell Henderson","        Guard  ","6-3, 180lb (190cm, 81kg) ","   Tempe, AZ","   Corona del Sol High School","Portland State"
1,"Malik Monk","SG","Bentonville, ARBentonville High School","6'3''",185,96,"Kentucky","malik-monk","https://www.sports-reference.com/cbb/players/malik-monk-1.html","https://www.sports-reference.com/cbb/players/malik-monk-1.html","Malik Monk","        Guard  ","6-3, 200lb (190cm, 90kg) ","   Lepanto, AR","   Bentonville High School","Kentucky"
2,"Eric Curry","PF","Little Rock, ARSouthwest Christian Academy","6'7''",195,79,"Minnesota","eric-curry","https://www.sports-reference.com/cbb/players/eric-curry-1.html","https://www.sports-reference.com/cbb/players/eric-curry-1.html","Eric Curry","        Forward  ","6-9, 240lb (206cm, 108kg) ","   Memphis, TN","   Ridgeway High School","Minnesota"
3,"Mitchell Smith","C","Van Buren, ARVan Buren High School","6'9''",190,79,"Missouri","mitchell-smith","https://www.sports-reference.com/cbb/players/mitchell-smith-1.html","https://www.sports-reference.com/cbb/players/mitchell-smith-1.html","Mitchell Smith","        Forward  ","6-10, 215lb (208cm, 97kg) ","   Van Buren, AR","   Van Buren High School","Missouri"
4,"Payton Willis","SG","Fayetteville, ARFayetteville High School","6'3''",165,77,"Vanderbilt","payton-willis","https://www.sports-reference.com/cbb/players/payton-willis-1.html","https://www.sports-reference.com/cbb/players/payton-willis-1.html","Payton Willis","        Guard  ","6-4, 200lb (193cm, 90kg) ","   Fayetteville, AR","   Fayetteville High School","Schools: Vanderbilt and Minnesota"
5,"Andre Jones","SF","Little Rock, ARMalvern High School","6'4''",185,74,"Little Rock","andre-jones","https://www.sports-reference.com/cbb/players/andre-jones-1.html","https://www.sports-reference.com/cbb/players/andre-jones-3.html","Andre Jones","        Guard  ","6-4, 195lb (193cm, 88kg) ","   Little Rock, AR","   Malven High School","Little Rock"
1,"Lonzo Ball","PG","Chino Hills, CAChino Hills High School","6'5''",195,96,"UCLA","lonzo-ball","https://www.sports-reference.com/cbb/players/lonzo-ball-1.html","https://www.sports-reference.com/cbb/players/lonzo-ball-1.html","Lonzo Ball","        Guard  ","6-6, 190lb (198cm, 86kg) ","   Chino Hills, CA","   Chino HIlls High School","UCLA"
2,"T.J. Leaf","PF","El Cajon, CAFoothills Christian High School","6'9''",215,94,"UCLA","tj-leaf","https://www.sports-reference.com/cbb/players/tj-leaf-1.html","https://www.sports-reference.com/cbb/players/tj-leaf-1.html","TJ Leaf","        Forward  ","6-10, 225lb (208cm, 102kg) ","   El Cajon, CA","   Foothills Christian","UCLA"
